recipe,default_portion,default_portion_in_grams,Calcium_(MG)_per_100G,Carbohydrates_(G)_per_100G,Iron_(MG)_per_100G,Lipid_(G)_per_100G,Magnesium_(MG)_per_100G,Protein_(G)_per_100G,Sodium_(MG)_per_100G,Vitamin_A_(UG)_per_100G,Vitamin_C_(MG)_per_100G,Vitamin_D_(UG)_per_100G,Calcium_(MG)_total,Carbohydrates_(G)_total,Iron_(MG)_total,Lipid_(G)_total,Magnesium_(MG)_total,Protein_(G)_total,Sodium_(MG)_total,Vitamin_A_(UG)_total,Vitamin_C_(MG)_total,Vitamin_D_(UG)_total
chip french fry,recipe_1_person,32.5,5.0,20.45,0.34,4.25,24.0,1.87,166.0,19.0,12.1,0.0,1.625,6.64625,0.1105,1.38125,7.8,0.60775,53.95,6.175,3.9325,0.0
chocolate cooky,recipe_1_person,118.5,64.9535864978903,14.387837552742615,0.23642405063291141,5.258132911392405,13.679324894514767,1.796613924050633,78.59915611814345,74.15611814345992,15.447784810126583,0.21308016877637131,76.97,17.0495875,0.2801625,6.230887500000001,16.21,2.1289875,93.14,87.875,18.305625,0.2525
compote fruit,recipe_1_person,165.5,7.888217522658611,18.11673716012085,0.1941691842900302,0.23984894259818734,4.196374622356496,0.17099697885196374,28.885196374622357,6.824773413897281,17.076132930513594,0.0,13.055,29.9832,0.32134999999999997,0.39695,6.945,0.283,47.805,11.295,28.260999999999996,0.0
cotta panna,recipe_1_person,16.25,157.1846153846154,40.88492307692308,6.877538461538462,0.7609230769230768,120.6923076923077,10.461692307692307,203.76923076923077,343.61538461538464,47.473846153846154,0.0,25.5425,6.643800000000001,1.1176,0.12364999999999998,19.6125,1.7000249999999997,33.112500000000004,55.8375,7.714500000000001,0.0
couscous,recipe_1_person,69.0,14.094202898550725,5.895760869565217,0.3867028985507246,2.9918115942028987,12.565217391304348,4.70963768115942,107.55434782608695,55.20289855072464,75.6804347826087,0.035507246376811595,9.725,4.068075,0.26682500000000003,2.06435,8.67,3.24965,74.2125,38.089999999999996,52.2195,0.0245
couscous israeli tabbouleh,recipe_1_person,8.75,29.0,21.78,1.64,12.84,13.0,3.68,317.0,24.0,6.2,0.1,2.5375,1.9057500000000003,0.1435,1.1235,1.1375,0.322,27.7375,2.1,0.5425,0.00875
cream dairy ice,recipe_1_person,18.0,20.88888888888889,20.964444444444446,0.8933333333333334,10.836666666666666,39.44444444444444,3.5877777777777777,595.7777777777778,0.5555555555555556,25.88888888888889,0.0,3.76,3.7736,0.1608,1.9506000000000001,7.1,0.6457999999999999,107.24000000000001,0.1,4.66,0.0
croque monsieur,recipe_1_person,79.5,573.6415094339623,5.500000000000001,0.9106289308176102,23.355094339622642,43.38364779874214,18.589748427672955,575.0314465408806,269.52830188679246,7.547169811320755,0.389937106918239,456.045,4.3725000000000005,0.72395,18.5673,34.489999999999995,14.778849999999998,457.15,214.27499999999998,6.0,0.31
cucumber pickle,recipe_1_person,863.25,3.264118158123371,0.2489661164205039,0.010495221546481321,0.012858384013900956,1.2519548218940053,0.13249348392701996,5.5134665508253695,0.08688097306689835,0.04865334491746308,0.0,28.1775,2.1491999999999996,0.0906,0.111,10.807500000000001,1.1437499999999998,47.595,0.75,0.42,0.0
curry green lentil soup,recipe_1_person,127.3875,82.57305465606908,20.967880482778927,1.7612717103326465,13.55868118928466,47.716710823275434,6.335323324502012,253.3074281228535,74.19507408497694,6.081493474634481,0.19605534294966148,105.18775000000001,26.710458749999997,2.24364,17.272064999999998,60.785125,8.07041,322.682,94.51525000000001,7.7470625,0.24974999999999997
dauphinoise gratin potato scallop,recipe_1_person,52.0,71.75,19.947596153846156,1.433798076923077,11.495961538461538,44.24519230769231,4.737836538461538,204.29807692307693,52.73076923076923,6.308653846153846,0.02403846153846154,37.31,10.372750000000002,0.745575,5.9779,23.0075,2.4636750000000003,106.235,27.42,3.2805,0.0125
dress french salad,recipe_1_person,68.0,14.0,27.1,0.39,0.32,14.0,1.08,928.0,26.0,4.1,0.0,9.52,18.428,0.2652,0.21760000000000002,9.52,0.7343999999999999,631.04,17.68,2.7879999999999994,0.0
dress italian salad,recipe_1_person,6.925,435.8050541516245,14.82736462093863,0.6994223826714802,18.83505415162455,24.93501805054152,17.429061371841154,772.9133574007219,106.94223826714803,1.0830324909747293,0.29747292418772564,30.1795,1.0267950000000001,0.048435,1.3043275,1.72675,1.2069625,53.524249999999995,7.405749999999999,0.075,0.0206
dress salad,recipe_1_person,198.625,16.697293895531782,7.9721774701069865,0.8033291378225299,5.240232850849591,11.93958464443046,3.092876022655758,195.48080553807426,15.470736312146004,13.523222152297043,0.13278791692888608,33.165,15.8347375,1.5956125,10.4084125,23.715,6.143225,388.27374999999995,30.72875,26.860500000000002,0.26375
dumpling,recipe_1_person,227.875,53.6105320899616,13.812978606692264,0.38078990674712015,4.6289138782227095,8.12671420735052,1.0802852441031268,615.5260559517279,18.30828304991772,2.387877125617115,0.04827207899067471,122.165,31.476324999999996,0.8677250000000001,10.5481375,18.51875,2.4617,1402.63,41.720000000000006,5.441375,0.11
easy ham hock terrine,recipe_1_person,44.75,139.85474860335196,19.412178770949723,0.9972067039106145,16.60413407821229,31.53072625698324,4.625474860335196,57.89385474860335,197.0,0.5581005586592179,0.29329608938547486,62.585,8.686950000000001,0.44625,7.43035,14.11,2.0699,25.9075,88.1575,0.24975,0.13125
empanadillas galician gallegas recipe turnover,recipe_1_person,195.0,26.621794871794872,12.322500000000002,2.1335897435897437,7.9512820512820515,20.044871794871796,14.635064102564103,297.1666666666667,858.4615384615385,3.6205128205128205,0.5448717948717948,51.9125,24.028875,4.1605,15.505,39.0875,28.538375000000002,579.475,1674.0,7.059999999999999,1.0625
evan funke handmade pasta tagliatelle ’,recipe_1_person,36.25,89.0,5.52,0.72,10.35,12.0,7.79,363.0,143.0,0.0,1.7,32.2625,2.001,0.26099999999999995,3.751875,4.35,2.8238749999999997,131.5875,51.8375,0.0,0.61625
fennel,recipe_1_person,81.25,28.53846153846154,16.138461538461538,1.1715384615384616,2.1076923076923078,21.0,5.003076923076923,159.23076923076923,66.92307692307692,12.153846153846153,0.0,23.1875,13.1125,0.951875,1.7125,17.0625,4.065,129.375,54.375,9.875,0.0
flaky pastry,recipe_1_person,63.75,18.0,10.07,0.36,0.24,16.0,1.41,296.0,206.0,11.2,0.0,11.475,6.419625,0.22949999999999998,0.153,10.2,0.8988749999999999,188.7,131.325,7.14,0.0
focaccia,recipe_1_person,166.0,87.03915662650603,48.001506024096386,2.7920783132530116,6.131024096385542,26.822289156626507,9.271686746987951,456.71385542168673,1.6867469879518073,0.15060240963855423,0.4186746987951807,144.485,79.6825,4.634849999999999,10.1775,44.525000000000006,15.391,758.1450000000001,2.8,0.25,0.695
fruit salad,recipe_1_person,101.5,12.83743842364532,44.93546798029556,0.5736453201970444,1.3118226600985223,14.31527093596059,1.5566502463054188,9.64039408866995,46.79802955665025,17.783251231527093,0.0,13.03,45.6095,0.58225,1.3315000000000001,14.53,1.58,9.785,47.5,18.05,0.0
fruit tart,recipe_1_person,375.0,49.706,12.22462,0.6189666666666667,4.773573333333333,6.761333333333333,3.4657533333333332,17.382666666666665,73.15533333333333,4.981,1.0609333333333333,186.39749999999998,45.842325,2.321125,17.9009,25.355,12.996575,65.185,274.33250000000004,18.67875,3.9785000000000004
fry halloumi,recipe_1_person,203.25,10.161131611316113,6.1162361623616235,0.5389790897908979,5.648892988929889,7.992619926199262,4.471586715867159,179.08979089790898,19.382533825338253,0.006888068880688807,0.15559655596555963,20.6525,12.431249999999999,1.095475,11.481375000000002,16.245,9.0885,364.0,39.395,0.014000000000000002,0.31625
greek parfait recipe yogurt yogurt,recipe_1_person,5.0,41.0,66.27,1.56,17.5,69.0,7.17,167.0,2.0,0.2,0.0,2.05,3.3134999999999994,0.07800000000000001,0.875,3.45,0.35850000000000004,8.35,0.1,0.01,0.0
greek salad,recipe_1_person,92.125,107.90773405698779,10.334871099050204,1.4081411126187244,0.7991451831750339,16.77069199457259,5.993554952510176,234.26322930800544,93.29715061058344,55.505563093622804,0.052103120759837175,99.41,9.521,1.2972499999999998,0.7362125,15.45,5.5215625,215.815,85.94999999999999,51.13450000000001,0.048
green tea,recipe_1_person,62.75,19.48207171314741,4.0762948207171315,1.3356175298804782,7.52406374501992,32.39442231075697,9.418804780876494,115.08366533864542,19.358565737051794,2.1482071713147413,0.0,12.225000000000001,2.557875,0.8381000000000001,4.721349999999999,20.3275,5.910299999999999,72.21499999999999,12.1475,1.348,0.0
grissini,recipe_1_person,35.5,4.366197183098592,33.328450704225354,0.3298591549295775,0.6430985915492958,5.47887323943662,3.783661971830986,24.450704225352112,0.0,0.9408450704225352,0.0,1.55,11.8316,0.1171,0.22830000000000003,1.945,1.3432,8.68,0.0,0.334,0.0
gruyère puff,recipe_1_person,32.5,44.0,31.55,5.8,47.72,251.0,14.78,208.0,0.0,0.0,0.0,14.3,10.25375,1.885,15.508999999999999,81.575,4.8035,67.6,0.0,0.0,0.0
hummus,recipe_1_person,204.3,34.94028389623103,9.120418502202643,2.3123910915320605,32.980487028879104,71.40137053352912,14.57693098384728,288.28365149290255,47.62383749388154,4.790699951052374,0.10034263338228096,71.383,18.633015,4.724215000000001,67.379135,145.873,29.780669999999997,588.9634999999998,97.29549999999999,9.7874,0.205
ice tea,recipe_1_person,175.25,172.9700427960057,24.368644793152637,1.7572182596291013,10.02435092724679,22.674750356633382,10.65098430813124,448.3366619115549,61.288159771754636,5.937945791726105,0.34022824536376606,303.13,42.70605,3.0795249999999994,17.567675,39.7375,18.66585,785.71,107.4075,10.40625,0.59625
macaroon,recipe_1_person,162.5,57.76923076923077,12.255538461538462,0.9134615384615384,11.144615384615385,60.784615384615385,6.050692307692308,80.7,4.292307692307692,5.206153846153846,0.025384615384615384,93.875,19.91525,1.4843749999999998,18.11,98.775,9.832375,131.1375,6.975,8.46,0.041249999999999995
mayonnaise,recipe_1_person,46.25,24.0,12.669999999999998,0.8,3.05,21.0,2.7700000000000005,146.0,207.0,3.1,0.0,11.1,5.859875,0.37,1.410625,9.7125,1.281125,67.525,95.7375,1.43375,0.0
meatloaf,recipe_1_person,309.5875,23.0348043767917,17.489245366818754,1.7176242580853556,5.876640287479307,18.834416764242743,10.893588646182423,434.43041143457026,10.008317519279688,1.0554366697621835,0.2904590786126701,71.312875,54.1445175,5.317549999999999,18.193343750000004,58.309,33.72518875,1344.94225,30.9845,3.2675,0.8992249999999999
miso soup,recipe_1_person,62.25,168.43775100401606,44.637831325301214,1.9889959839357432,25.48293172690763,130.03614457831324,10.423333333333332,32.65461847389558,2.465863453815261,0.19156626506024096,0.12289156626506025,104.85249999999999,27.787050000000004,1.23815,15.863124999999998,80.9475,6.488525,20.3275,1.5350000000000001,0.11925000000000001,0.0765
mix vegetable,recipe_1_person,131.65,25.321306494492973,13.15955943790353,1.2871021648309913,5.125472844663881,33.80288644132168,5.6534941131788825,251.92556019749335,275.26471705279147,1.6973034561336877,0.055639954424610706,33.335499999999996,17.324559999999998,1.69447,6.747685,44.50150000000001,7.442825,331.66,362.38599999999997,2.2345,0.07325000000000001
muesli,recipe_1_person,123.25,81.7971602434077,32.31872210953347,1.9352129817444221,11.134584178498985,81.14604462474645,8.280669371196755,24.135902636916835,31.52129817444219,1.194523326572008,0.5963488843813387,100.815,39.832825,2.38515,13.723374999999999,100.0125,10.205925,29.747500000000002,38.85,1.47225,0.735
mushroom sauce,recipe_1_person,91.75,8.626702997275205,8.781880108991825,0.5070572207084468,1.6841961852861036,11.618528610354224,2.031607629427793,632.8474114441417,5.994550408719346,0.6335149863760218,0.10899182561307902,7.915,8.057375,0.465225,1.54525,10.66,1.864,580.6375,5.5,0.58125,0.1
negroni prosecco variation,recipe_1_person,22.5,5.0,13.469999999999999,0.25,0.05999999999999999,5.0,0.2,3.0,0.0,1.0,0.0,1.125,3.03075,0.05625,0.013499999999999998,1.125,0.045,0.675,0.0,0.225,0.0
peachaperol spritz,recipe_1_person,88.125,11.381560283687943,12.883021276595745,0.0957163120567376,0.6761134751773049,7.102127659574468,0.317063829787234,8.058156028368794,12.921985815602836,13.193475177304965,0.0,10.03,11.3531625,0.08435000000000001,0.5958249999999999,6.25875,0.27941250000000006,7.10125,11.3875,11.62675,0.0
pear rooibos tea,recipe_1_person,100.0,14.2,27.97,0.84,0.252,13.8,0.7480000000000001,4.2,0.0,2.8,0.0,14.2,27.97,0.84,0.252,13.799999999999999,0.7480000000000001,4.2,0.0,2.8,0.0
potato steam,recipe_1_person,31.25,8.0,16.26,0.38,3.39,23.0,1.99,147.0,0.0,15.1,0.0,2.5,5.081250000000001,0.11875,1.059375,7.1875,0.621875,45.9375,0.0,4.71875,0.0
praline,recipe_1_person,4.5,181.0,35.84,2.54,45.34,188.0,14.11,385.0,0.0,0.0,0.0,8.145,1.6128000000000002,0.1143,2.0403000000000002,8.46,0.63495,17.325,0.0,0.0,0.0
quinoa,recipe_1_person,196.0,37.50892857142857,10.578048469387753,1.1098341836734693,6.856836734693878,30.413265306122447,13.60466836734694,367.797193877551,18.502551020408163,0.16645408163265307,0.1914540816326531,73.5175,20.732974999999996,2.175275,13.439400000000001,59.61,26.665150000000004,720.8825,36.265,0.32625,0.37525
raclette,recipe_1_person,323.25,157.29775715390565,8.13890177880897,0.46175560711523583,8.180657385924208,19.177107501933488,6.429358081979892,108.81206496519721,76.65429234338747,6.063263727764888,0.12374323279195669,508.465,26.309,1.4926249999999999,26.443975000000002,61.99,20.7829,351.73499999999996,247.785,19.5995,0.4
rice wild,recipe_1_person,17.5,44.0,36.31,2.86,27.46,17.0,8.96,437.0,269.0,0.0,0.9,7.7,6.35425,0.5005,4.8055,2.975,1.568,76.475,47.075,0.0,0.1575
roast romanesco,recipe_1_person,7.0,178.0,51.92,3.71,6.44,26.0,10.84,465.0,1.0,0.2,0.0,12.46,3.6344,0.2597,0.45080000000000003,1.82,0.7587999999999999,32.55,0.07,0.014000000000000002,0.0
rosti,recipe_1_person,83.75,17.761194029850746,11.910000000000002,0.4334328358208955,6.867164179104478,16.582089552238806,3.6704477611940294,286.1044776119403,54.80597014925373,6.8283582089552235,0.15223880597014924,14.875,9.974625,0.363,5.751250000000001,13.8875,3.074,239.61249999999998,45.9,5.71875,0.1275
sauce tomato,recipe_1_person,107.75,8.14385150812065,7.410487238979118,0.42993039443155456,0.32712296983758704,7.215777262180975,0.6465429234338748,261.0580046403712,7.2227378190255225,6.180510440835267,0.0,8.775,7.984800000000001,0.46325,0.35247500000000004,7.775,0.69665,281.29,7.7825,6.6594999999999995,0.0
sausage swirl,recipe_1_person,114.5,0.1965065502183406,0.031004366812227072,0.026200873362445413,98.41157205240175,0.34934497816593885,0.404585152838428,17.77292576419214,0.611353711790393,0.0,0.03056768558951965,0.225,0.0355,0.03,112.68125,0.4,0.46325000000000005,20.35,0.7,0.0,0.035
spice tea,recipe_1_person,32.75,70.0,52.38,3.57,1.32,29.0,10.56,422.0,0.0,0.0,0.0,22.925,17.15445,1.1691749999999999,0.4323,9.4975,3.4584,138.205,0.0,0.0,0.0
tzatziki,recipe_1_person,87.5,89.0,20.02,0.66,3.67,29.0,9.22,58.0,7.0,0.0,0.7,77.875,17.5175,0.5775,3.21125,25.375,8.0675,50.75,6.125,0.0,0.6124999999999999
