target_cleaned,recipe_cleaned,ingredient_cleaned,is_ok,ingredient,default_portion,default_portion_in_grams,Calcium_(MG)_per_100G,Carbohydrates_(G)_per_100G,Iron_(MG)_per_100G,Lipid_(G)_per_100G,Magnesium_(MG)_per_100G,Protein_(G)_per_100G,Sodium_(MG)_per_100G,Vitamin_A_(UG)_per_100G,Vitamin_C_(MG)_per_100G,Vitamin_D_(UG)_per_100G,recipe,content,quantity,grammage,unit
fish,,fish,True,fish,1 cubic inch,17.0,17.0,6.64,0.86,14.52,27.0,19.32,350.0,29.0,0.9,5.3,,,,,
crisp,,apple crisp,True,apple crisp,1 cup,250.0,15.0,30.18,1.0,9.59,30.0,2.81,119.0,76.0,0.6,0.0,,,,,
pork,,pork,True,pork,1 cubic inch,17.0,10.0,0.0,0.79,8.67,26.0,27.14,348.0,0.0,0.0,0.7,,,,,
rosti,,nan,True,,,,,,,,,,,,,,,,,,
chocolate hazelnut milk,,chocolate hazelnut spread,True,chocolate hazelnut spread,Guideline amount per slice of bread/roll,20.0,108.0,62.36,4.38,29.73,64.0,5.41,41.0,1.0,0.0,0.0,,,,,
flake oat,,oatmeal,True,oatmeal,"1 cup, dry, yields",485.0,12.0,11.17,0.67,2.63,24.0,2.18,81.0,16.0,0.0,0.0,,,,,
bread grain,,bread raisin,True,bread raisin,"1 slice, crust not eaten",13.0,196.0,52.21,3.2,3.26,28.0,8.82,408.0,0.0,0.2,0.0,,,,,
tuna,,fish tuna,True,fish tuna,Quantity not specified,90.0,18.0,0.08,1.67,0.94,23.0,19.0,219.0,17.0,0.0,1.2,,,,,
walnut,,exclude honey roast walnut,True,exclude honey roast walnut,1 cup,120.0,88.0,10.91,2.24,69.74,142.0,14.56,0.0,1.0,1.3,0.0,,,,,
ratatouille,,ratatouille,True,ratatouille,Quantity not specified,108.0,21.0,5.77,0.44,4.73,14.0,1.09,151.0,20.0,18.7,0.0,,,,,
bacon,,bacon bit,True,bacon bit,1 tablespoon,7.0,101.0,28.6,0.72,25.9,95.0,32.0,1770.0,0.0,1.9,0.0,,,,,
bouillon,,french onion soup,True,french onion soup,1 individual container,440.0,138.0,11.84,0.67,4.47,13.0,5.45,378.0,32.0,2.9,0.1,,,,,
seed sesame,,seed sesame,True,seed sesame,1 cup,128.0,60.0,11.73,6.36,61.21,345.0,20.45,47.0,3.0,0.0,0.0,,,,,
bake potato,,bake potato,True,bake potato,1 cup,130.0,5.0,21.45,0.35,0.1,25.0,1.95,181.0,0.0,12.7,0.0,,,,,
fennel,,nan,True,,,,,,,,,,,,,,,,,,
beetroot,,beet green,True,beet green,1 cup,38.0,117.0,4.33,2.57,0.13,70.0,2.2,226.0,316.0,30.0,0.0,,,,,
meat,,meat,True,meat,Quantity not specified,60.0,15.0,0.0,1.91,11.29,22.0,27.13,363.0,3.0,0.0,0.3,,,,,
cheese cook risotto without,,parmesan risotto truffle,True,,,,,,,,,,,,,,,,,,
roast sauce,,chicken mole sauce,True,chicken mole sauce,Quantity not specified,244.0,13.0,3.22,0.78,5.58,21.0,18.97,542.0,16.0,0.1,0.0,,,,,
philadelphia,,cheese cream plain regular,True,cheese cream plain regular,Quantity not specified,30.0,97.0,4.56,0.0,33.49,9.0,5.79,368.0,274.0,0.0,0.0,,,,,
addition addition average fat mushroom salt stew without without,,stew,True,stew,Quantity not specified,255.0,16.0,6.29,0.8,4.11,17.0,8.93,308.0,131.0,7.0,0.0,,,,,
addition addition bell fat pepper red salt stew without without,,stew,True,stew,Quantity not specified,255.0,16.0,6.29,0.8,4.11,17.0,8.93,308.0,131.0,7.0,0.0,,,,,
chocolate white,,candy chocolate white,True,candy chocolate white,1 large/king size,90.0,199.0,59.24,0.24,32.09,12.0,5.87,90.0,9.0,0.5,0.0,,,,,
escalope pork,,ear pork,True,ear pork,1 item,85.0,20.0,0.0,1.1,13.78,24.0,26.15,364.0,2.0,0.1,0.9,,,,,
breadcrumb unspiced,,bread cuban,True,bread cuban,1 medium or regular slice,20.0,52.0,51.88,3.91,2.42,32.0,10.75,602.0,0.0,0.0,0.0,,,,,
fondue,,cheese fondue,True,cheese fondue,1 tablespoon,13.0,639.0,1.95,0.32,21.2,27.0,19.32,303.0,188.0,0.0,0.2,,,,,
honey,,honey,True,honey,Quantity not specified,7.0,6.0,82.4,0.42,0.0,2.0,0.3,4.0,0.0,0.5,0.0,,,,,
strawberry,,strawberry,True,strawberry,Quantity not specified,75.0,17.0,7.96,0.26,0.22,13.0,0.64,0.0,1.0,59.6,0.0,,,,,
crunch müesli,,nan,True,,,,,,,,,,,,,,,,,,
empanadas meat meat pie small turnover,,nan,True,,,,,,,,,,,,,,,,,,
rooibos tea,,nan,True,,,,,,,,,,,,,,,,,,
bake cake dough pie plum,,cake doughnut ice type,True,cake doughnut ice type,1 stick/twist,75.0,33.0,51.23,2.06,23.19,14.0,4.25,418.0,3.0,0.0,0.0,,,,,
au dauphinois gratin potato prepare,,nan,True,,,,,,,,,,,,,,,,,,
mushroom sauce,,nan,True,,,,,,,,,,,,,,,,,,
mix nut,,mix nut,True,mix nut,Quantity not specified,28.0,93.0,20.9,2.76,53.82,196.0,19.59,313.0,1.0,0.4,0.0,,,,,
bread toast wholemeal,,bread toast white,True,bread toast white,1 medium or regular slice,25.0,232.0,54.07,3.69,3.94,30.0,10.36,495.0,0.0,0.0,0.0,,,,,
radish red,,radish,True,radish,1 slice,1.0,25.0,3.4,0.34,0.1,10.0,0.68,39.0,0.0,14.8,0.0,,,,,
dumpling,,nan,True,,,,,,,,,,,,,,,,,,
linguini parpadelle pasta tagliatelle,,nan,True,,,,,,,,,,,,,,,,,,
chicken cut meat strip,,breast chicken eat skin stew,True,breast chicken eat skin stew,1 large or thick slice,85.0,7.0,0.0,0.5,8.28,23.0,24.7,316.0,17.0,0.0,0.1,,,,,
bouillon vegetable,,nan,True,,,,,,,,,,,,,,,,,,
sundried tomatoe,,sundried tomato,True,sundried tomato,Quantity not specified,28.0,110.0,55.76,9.09,2.97,194.0,14.11,107.0,44.0,39.2,0.0,,,,,
bread ticino,,bread cinnamon,True,bread cinnamon,1 large or thick slice,43.0,71.0,44.38,2.54,5.29,11.0,7.05,388.0,0.0,0.0,0.0,,,,,
milk partially porridge prepare skim,,nan,True,,,,,,,,,,,,,,,,,,
drink milk soy soya,,milk soy sweeten,True,milk soy sweeten,Guideline amount per fl oz of beverage,2.5,97.0,5.22,0.52,2.05,21.0,3.41,33.0,56.0,0.0,0.7,,,,,
bean french,,bean white,True,bean white,Quantity not specified,92.0,84.0,23.32,3.45,6.83,59.0,9.04,221.0,0.0,0.0,0.0,,,,,
ball meat,,bagel wheat,True,bagel wheat,1 Bagel Thin,46.0,105.0,48.89,2.76,1.53,51.0,10.2,439.0,0.0,0.0,0.0,,,,,
popcorn salt,,popcorn,True,popcorn,1 large single serving bag,85.0,6.0,54.99,2.26,30.57,102.0,9.13,764.0,7.0,0.0,0.0,,,,,
beer,,beer,True,beer,1 bottle (40 fl oz),1200.0,4.0,3.55,0.02,0.0,6.0,0.46,4.0,0.0,0.0,0.0,,,,,
orange,,orange,True,orange,1 fruit,154.0,42.0,11.78,0.22,0.14,10.0,0.92,4.0,11.0,56.2,0.0,,,,,
chocolate fill,,candy chocolate white,True,candy chocolate white,1 large/king size,90.0,199.0,59.24,0.24,32.09,12.0,5.87,90.0,9.0,0.5,0.0,,,,,
chocolate milk,,chocolate milk,True,chocolate milk,1 individual school container,248.0,128.0,10.98,0.24,0.83,13.0,3.44,68.0,55.0,0.6,1.1,,,,,
blueberry,,blueberry,True,blueberry,Quantity not specified,75.0,12.0,14.57,0.34,0.31,6.0,0.7,0.0,3.0,8.1,0.0,,,,,
natural ou yahourt yaourt yoghourt yogourt,,fruit parfait yogurt,True,fruit parfait yogurt,1 McDonald's parfait,150.0,86.0,16.08,0.43,2.18,21.0,5.25,44.0,7.0,13.5,0.6,,,,,
bread fruit,,bread fruit,True,bread fruit,1 slice,41.0,146.0,47.34,2.07,18.1,25.0,6.01,302.0,34.0,1.3,0.5,,,,,
beef cut meat strip,,beef eat lean steak strip,True,beef eat lean steak strip,1 cup,135.0,15.0,0.0,2.3,11.32,23.0,28.05,361.0,1.0,0.0,0.2,,,,,
corn,,corn,True,corn,1 cup,150.0,2.0,18.7,0.52,1.35,37.0,3.27,15.0,9.0,6.8,0.0,,,,,
de moine tête,,camembert cheese,True,camembert cheese,1 cubic inch,17.0,388.0,0.46,0.33,24.26,20.0,19.8,842.0,241.0,0.0,0.4,,,,,
radish white,,horseradish,True,horseradish,1 tablespoon,15.0,56.0,11.29,0.42,0.69,27.0,1.18,420.0,0.0,24.9,0.0,,,,,
pesto sauce,,pesto sauce,True,pesto sauce,1 tablespoon,16.0,207.0,5.67,1.87,59.17,61.0,8.61,988.0,91.0,3.6,0.1,,,,,
parmesan,,cheese dry grate parmesan,True,cheese dry grate parmesan,1 cup,100.0,917.0,8.36,0.3,28.75,35.0,29.87,1398.0,230.0,0.0,0.2,,,,,
celery,,celery,True,celery,1 stick,4.0,46.0,3.32,0.0,0.16,11.0,0.49,97.0,22.0,3.1,0.0,,,,,
milk oat,,milk oat,True,milk oat,Quantity not specified,244.0,155.0,5.37,0.21,2.33,8.0,0.66,43.0,0.0,0.0,1.7,,,,,
potato soup,,potato soup,True,potato soup,1 cup,255.0,15.0,10.53,0.34,4.71,13.0,1.51,240.0,60.0,7.1,0.2,,,,,
cheese cream,,nan,True,,,,,,,,,,,,,,,,,,
bread crisp wasa,,bread french vienna,True,bread french vienna,1 small or thin/very thin slice,32.0,52.0,51.88,3.91,2.42,32.0,10.75,602.0,0.0,0.0,0.0,,,,,
grape,,grape,True,grape,1 cup,150.0,10.0,19.4,0.18,0.2,8.0,0.9,5.0,3.0,3.2,0.0,,,,,
chicory witloof,,nan,True,,,,,,,,,,,,,,,,,,
bolognaise sauce,,nan,True,,,,,,,,,,,,,,,,,,
apple crumble,,nan,True,,,,,,,,,,,,,,,,,,
pistachio,,nut pistachio,True,nut pistachio,Quantity not specified,28.0,107.0,28.28,4.03,45.82,109.0,21.05,6.0,13.0,3.0,0.0,,,,,
nut pecan,,pecan,True,pecan,1 nut,1.5,55.0,12.7,2.37,73.28,103.0,9.96,0.0,3.0,1.1,0.0,,,,,
tofu,,soy yogurt,True,soy yogurt,"1 container, NFS",150.0,89.0,12.27,1.08,2.63,27.0,4.83,30.0,42.0,1.5,1.2,,,,,
white wine,,white wine,True,white wine,Quantity not specified,180.0,9.0,2.6,0.27,0.0,10.0,0.07,5.0,0.0,0.0,0.0,,,,,
spice tea,,nan,True,,,,,,,,,,,,,,,,,,
quinoa,,nan,True,,,,,,,,,,,,,,,,,,
smoothie,,fruit smoothie,True,fruit smoothie,Quantity not specified,324.0,80.0,11.98,0.19,1.1,14.0,2.32,28.0,20.0,9.5,0.6,,,,,
leek,,leek,True,leek,Quantity not specified,85.0,62.0,14.74,2.19,3.05,29.0,1.57,151.0,94.0,10.6,0.0,,,,,
soup vegetable,,soup vegetable,True,soup vegetable,1 cup,245.0,12.0,5.08,0.2,0.45,11.0,0.84,243.0,36.0,8.9,0.0,,,,,
boil shrimp,,nan,True,,,,,,,,,,,,,,,,,,
drink kefir,,kefir,True,kefir,1 fl oz,30.5,124.0,7.48,0.04,0.96,12.0,3.59,38.0,174.0,0.8,1.0,,,,,
cheese semihard,,cheese head,True,cheese head,Quantity not specified,56.0,16.0,0.0,1.5,10.9,9.0,13.83,941.0,0.0,0.0,0.9,,,,,
bread rye,,bread rye,True,bread rye,Quantity not specified,32.0,73.0,48.3,2.83,3.3,40.0,8.5,570.0,0.0,0.4,0.0,,,,,
guacamole,,guacamole,True,guacamole,1 tablespoon,15.0,12.0,8.45,0.54,14.18,28.0,1.95,344.0,7.0,10.2,0.0,,,,,
mm,,candy chocolate nut,True,candy chocolate nut,1 piece,8.0,163.0,51.77,2.2,33.66,86.0,10.99,64.0,47.0,0.0,0.0,,,,,
juice multifruit,,fruit juice,True,fruit juice,1 fl oz (with ice),23.0,21.0,12.1,0.08,0.26,7.0,0.29,5.0,1.0,34.7,0.1,,,,,
rocket salad,,carrot salad,True,carrot salad,Quantity not specified,88.0,30.0,17.62,0.39,15.74,13.0,1.25,189.0,521.0,6.1,0.0,,,,,
bread hamburger ketchup meat,,bun hamburger medium patty wheat,True,bun hamburger medium patty wheat,1 hamburger,145.0,73.0,18.74,2.72,14.4,34.0,18.18,333.0,0.0,0.0,0.1,,,,,
cooky,,cookie,True,cookie,1 medium,30.0,21.0,65.36,5.58,24.72,41.0,5.1,311.0,0.0,0.0,0.0,,,,,
cake oblong,,cake sponge,True,cake sponge,1 cup,50.0,70.0,61.0,2.72,2.7,11.0,5.4,623.0,44.0,0.0,0.2,,,,,
bake ham mushroom pizza,,cheese crust extra pizza thick vegetable,True,cheese crust extra pizza thick vegetable,"1 piece, large pizza",155.0,158.0,29.44,2.39,9.46,21.0,9.51,490.0,61.0,3.5,0.0,,,,,
coulis fruit,,fruit juice,True,fruit juice,1 fl oz (with ice),23.0,21.0,12.1,0.08,0.26,7.0,0.29,5.0,1.0,34.7,0.1,,,,,
plum,,plum,True,plum,Quantity not specified,75.0,6.0,11.42,0.17,0.28,7.0,0.7,0.0,17.0,9.5,0.0,,,,,
bake ham pizza,,cheese crust extra pizza thick vegetable,True,cheese crust extra pizza thick vegetable,"1 piece, large pizza",155.0,158.0,29.44,2.39,9.46,21.0,9.51,490.0,61.0,3.5,0.0,,,,,
date,,date,True,date,1 cup,160.0,39.0,75.03,1.02,0.39,43.0,2.45,2.0,0.0,0.4,0.0,,,,,
butter peanut,,butter peanut,True,butter peanut,1 single serving,45.0,49.0,22.31,1.74,51.36,168.0,22.21,426.0,0.0,0.0,0.0,,,,,
bean kidney,,bean kidney,True,bean kidney,Quantity not specified,92.0,26.0,21.19,2.74,6.97,42.0,8.06,218.0,0.0,1.1,0.0,,,,,
pineapple,,pineapple,True,pineapple,1 chunk,15.0,12.0,14.09,0.05,0.21,13.0,0.46,0.0,3.0,58.6,0.0,,,,,
breast chicken,,nan,True,,,,,,,,,,,,,,,,,,
cheddar,,cheddar cheese,True,cheddar cheese,"1 cup, cubed",132.0,707.0,2.44,0.16,34.0,27.0,23.3,654.0,316.0,0.0,0.6,,,,,
ketchup,,ketchup,True,ketchup,1 cup,272.0,14.0,27.1,0.39,0.32,14.0,1.08,928.0,26.0,4.1,0.0,,,,,
peppermint tea,,herbal hot tea,True,herbal hot tea,Quantity not specified,360.0,2.0,0.2,0.08,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,
bread fajita,,fajita,True,fajita,1 fajita,95.0,54.0,17.99,1.73,11.02,18.0,11.7,455.0,21.0,23.9,0.0,,,,,
potato sweet,,potato sweet,True,potato sweet,"1 cup, mashed",250.0,22.0,17.14,0.4,4.53,19.0,1.58,161.0,684.0,12.4,0.0,,,,,
pastry puff savoury stick,,pastry puff,True,pastry puff,1 patty shell,47.0,10.0,45.7,2.6,38.5,16.0,7.4,253.0,0.0,0.0,0.0,,,,,
chicken leg,,chicken drumstick eat leg skin stew thigh,True,chicken drumstick eat leg skin stew thigh,"1 oz, cooked",28.35,12.0,0.0,1.09,13.44,22.0,22.45,396.0,14.0,0.0,0.2,,,,,
cabbage red,,cabbage red,True,cabbage red,1 head,840.0,31.0,6.79,0.0,0.21,13.0,1.24,12.0,56.0,53.9,0.0,,,,,
croissant,,croissant,True,croissant,1 mini croissant,28.0,37.0,45.8,2.03,21.0,16.0,8.2,300.0,206.0,0.2,0.0,,,,,
hörnli pasta,,flavor pasta,True,flavor pasta,"1 oz, dry, yields",115.0,6.0,14.45,0.41,2.21,7.0,2.47,174.0,19.0,0.4,0.1,,,,,
carne chili con prepare,,can chili meat,True,can chili meat,1 can,440.0,20.0,10.82,1.84,3.38,25.0,8.5,357.0,11.0,6.0,0.0,,,,,
cream sour,,nan,True,,,,,,,,,,,,,,,,,,
cheese raclette,,nan,True,,,,,,,,,,,,,,,,,,
can corn sweet,,corn,True,corn,1 cup,150.0,2.0,18.7,0.52,1.35,37.0,3.27,15.0,9.0,6.8,0.0,,,,,
cheese process,,camembert cheese,True,camembert cheese,1 cubic inch,17.0,388.0,0.46,0.33,24.26,20.0,19.8,842.0,241.0,0.0,0.4,,,,,
cheese goat soft,,cheese goat,True,cheese goat,"1 cup, crumbled",140.0,298.0,0.12,1.62,29.84,29.0,21.58,415.0,407.0,0.0,0.5,,,,,
couscous,,nan,True,,,,,,,,,,,,,,,,,,
leaf spinach,,cream spinach,True,cream spinach,Quantity not specified,100.0,58.0,6.11,0.76,6.09,67.0,2.39,450.0,257.0,15.1,0.3,,,,,
pasta stuff tortelloni,,meatfilled sauce tortellini,True,meatfilled sauce tortellini,1 cup,190.0,67.0,18.04,1.83,7.51,15.0,12.28,434.0,70.0,0.0,0.8,,,,,
praline,,nan,True,,,,,,,,,,,,,,,,,,
chocolate croissant fill,,chocolate croissant,True,chocolate croissant,Quantity not specified,70.0,36.0,49.4,2.25,22.79,36.0,7.4,242.0,165.0,0.2,0.0,,,,,
focaccia,,nan,True,,,,,,,,,,,,,,,,,,
caper,,pickle,True,pickle,1 spear,40.0,54.0,1.99,0.23,0.43,7.0,0.48,808.0,4.0,2.1,0.0,,,,,
spaetzle,,nan,True,,,,,,,,,,,,,,,,,,
grissini,,nan,True,,,,,,,,,,,,,,,,,,
candy sweet,,candy potato sweet,True,candy potato sweet,Quantity not specified,100.0,17.0,37.69,0.31,3.48,14.0,1.18,121.0,514.0,9.3,0.0,,,,,
fruit tart,,nan,True,,,,,,,,,,,,,,,,,,
brie,,brie cheese,True,brie cheese,"1 cup, NFS",144.0,184.0,0.45,0.5,27.68,20.0,20.75,629.0,174.0,0.0,0.5,,,,,
biscuit butter,,nan,True,,,,,,,,,,,,,,,,,,
peanut,,peanut,True,peanut,"1 oz, NFS",28.35,58.0,21.26,1.58,49.66,178.0,24.35,410.0,0.0,0.0,0.0,,,,,
dilute drink ready syrup,,chocolate syrup,True,chocolate syrup,1 tablespoon,20.0,0.0,67.21,0.0,0.0,40.0,0.0,150.0,0.0,0.0,0.0,,,,,
pasta spaghetti,,sauce spaghetti,True,sauce spaghetti,Quantity not specified,65.0,27.0,8.05,0.78,1.48,18.0,1.41,419.0,32.0,2.0,0.0,,,,,
sauerkraut,,sauerkraut,True,sauerkraut,Quantity not specified,30.0,30.0,4.16,1.42,2.53,13.0,0.9,659.0,26.0,12.8,0.1,,,,,
mustard,,mustard,True,mustard,Guideline amount on regular sandwich,5.0,63.0,5.3,1.59,3.38,48.0,4.25,1100.0,4.0,0.4,0.0,,,,,
vegetable,,vegetable,True,vegetable,Quantity not specified,60.0,35.0,5.83,0.26,0.26,13.0,1.19,53.0,206.0,28.7,0.0,,,,,
soup tomato,,soup tomato,True,soup tomato,1 cup,245.0,11.0,3.64,0.44,0.41,9.0,0.65,244.0,36.0,5.9,0.0,,,,,
apple pie,,apple pie,True,apple pie,1 individual pie,150.0,11.0,37.55,1.23,15.28,8.0,2.7,217.0,40.0,0.5,0.1,,,,,
bread butter egg milk white,,bread egg sandwich white,True,bread egg sandwich white,1 submarine,175.0,132.0,26.1,2.5,9.05,19.0,10.46,353.0,92.0,0.0,1.1,,,,,
pastry puff savoury,,pastry puff,True,pastry puff,1 patty shell,47.0,10.0,45.7,2.6,38.5,16.0,7.4,253.0,0.0,0.0,0.0,,,,,
pomegranate,,pomegranate,True,pomegranate,1 cup,175.0,10.0,18.7,0.3,1.17,12.0,1.67,3.0,0.0,10.2,0.0,,,,,
anchovy,,anchovy fish,True,anchovy fish,1 can,45.0,232.0,0.0,4.63,9.71,69.0,28.89,3668.0,12.0,0.0,1.7,,,,,
drain oil tuna,,can fish tuna,True,can fish tuna,1 small can,75.0,18.0,0.08,1.67,0.94,23.0,19.0,219.0,17.0,0.0,1.2,,,,,
lemon pie,,lemon pie,True,lemon pie,1 cup,250.0,40.0,31.48,0.6,16.16,7.0,2.41,169.0,83.0,0.9,0.4,,,,,
pumpkin seed,,pumpkin seed,True,pumpkin seed,Quantity not specified,28.0,52.0,14.71,8.07,49.05,550.0,29.84,18.0,0.0,1.8,0.0,,,,,
cashew chers fauxmage vegan,,nan,True,,,,,,,,,,,,,,,,,,
bean white,,bean white,True,bean white,Quantity not specified,92.0,84.0,23.32,3.45,6.83,59.0,9.04,221.0,0.0,0.0,0.0,,,,,
melon sugar,,honeydew melon,True,honeydew melon,1 cup,155.0,6.0,9.09,0.17,0.14,10.0,0.54,18.0,3.0,18.0,0.0,,,,,
mix seed,,mix seed,True,mix seed,Quantity not specified,28.0,66.0,21.73,4.87,49.61,234.0,21.96,7.0,0.0,1.5,0.0,,,,,
hamburger,,hamburger,True,hamburger,Quantity not specified,145.0,66.0,20.68,2.83,14.38,21.0,17.51,355.0,0.0,0.5,0.1,,,,,
bun hamburger,,nan,True,,,,,,,,,,,,,,,,,,
dress oil salad vinegar,,nan,True,,,,,,,,,,,,,,,,,,
caffeine latte macchiato,,coffee macchiato,True,coffee macchiato,1 espresso cup (2 fl oz),60.0,43.0,2.71,0.09,0.83,58.0,1.18,22.0,19.0,0.2,0.4,,,,,
greek salad,,nan,True,,,,,,,,,,,,,,,,,,
celeriac,,celery,True,celery,1 stick,4.0,46.0,3.32,0.0,0.16,11.0,0.49,97.0,22.0,3.1,0.0,,,,,
pasta twist,,honeydew melon,True,honeydew melon,1 cup,155.0,6.0,9.09,0.17,0.14,10.0,0.54,18.0,3.0,18.0,0.0,,,,,
chocolate mousse,,nan,True,,,,,,,,,,,,,,,,,,
coriander,,flavor sherbet,True,flavor sherbet,1 individual container,75.0,54.0,30.4,0.14,2.0,8.0,1.1,46.0,12.0,2.3,0.0,,,,,
cenovis spread yeast,,chocolate hazelnut spread,True,chocolate hazelnut spread,Guideline amount per slice of bread/roll,20.0,108.0,62.36,4.38,29.73,64.0,5.41,41.0,1.0,0.0,0.0,,,,,
milk,,milk,True,milk,Guideline amount per cup of hot cereal,61.0,125.0,4.83,0.0,2.14,12.0,3.33,39.0,58.0,0.1,1.1,,,,,
cream thicken,,boneless chicken hot sauce source wing,True,boneless chicken hot sauce source wing,1 boneless wing,35.0,38.0,19.98,0.9,11.82,25.0,11.39,827.0,24.0,0.5,0.1,,,,,
berry,,berry,True,berry,Quantity not specified,75.0,16.0,9.94,0.28,0.25,11.0,0.66,0.0,2.0,44.2,0.0,,,,,
meringue,,meringue,True,meringue,1 meringue,22.0,5.0,75.34,0.1,0.04,7.0,7.17,113.0,0.0,0.0,0.0,,,,,
biscuit,,biscuit,True,biscuit,Quantity not specified,45.0,70.0,42.82,2.76,18.92,15.0,7.08,979.0,18.0,0.0,0.0,,,,,
beef,,beef,True,beef,"1 piece/slice, any size",30.0,18.0,0.0,2.66,13.04,20.0,27.13,372.0,4.0,0.0,0.1,,,,,
lemon,,lemon,True,lemon,1 slice or wedge,8.0,26.0,9.32,0.6,0.3,8.0,1.1,2.0,1.0,53.0,0.0,,,,,
müesli,,nan,True,,,,,,,,,,,,,,,,,,
chive,,chive,True,chive,Quantity not specified,3.0,92.0,4.35,1.6,0.73,42.0,3.27,3.0,218.0,58.1,0.0,,,,,
