target_cleaned,recipe_cleaned,ingredient_cleaned,is_ok,ingredient,default_portion,default_portion_in_grams,Calcium_(MG)_per_100G,Carbohydrates_(G)_per_100G,Iron_(MG)_per_100G,Lipid_(G)_per_100G,Magnesium_(MG)_per_100G,Protein_(G)_per_100G,Sodium_(MG)_per_100G,Vitamin_A_(UG)_per_100G,Vitamin_C_(MG)_per_100G,Vitamin_D_(UG)_per_100G,recipe,content,quantity,grammage,unit
add birchermüesli prepare sugar,,fruit parfait yogurt,True,fruit parfait yogurt,1 McDonald's parfait,150.0,86.0,16.08,0.43,2.18,21.0,5.25,44.0,7.0,13.5,0.6,,,,,
cracker,,cracker,True,cracker,1 miniature/bite size,1.0,120.0,61.3,4.03,26.43,18.0,6.64,726.0,0.0,0.0,0.0,,,,,
batter crunchies fish,,crayfish fry,True,crayfish fry,Quantity not specified,85.0,35.0,11.72,1.53,12.89,25.0,14.06,387.0,14.0,0.7,0.0,,,,,
beef filet,,beef brisket,True,beef brisket,Quantity not specified,60.0,10.0,0.0,2.74,12.04,22.0,29.41,377.0,1.0,0.0,0.2,,,,,
fry roll spring,,fry onion ring,True,fry onion ring,Quantity not specified,120.0,72.0,39.94,0.96,19.82,20.0,4.19,575.0,0.0,1.5,0.0,,,,,
muffin,,muffin,True,muffin,1 small,70.0,44.0,53.0,1.3,16.07,10.0,4.49,336.0,21.0,0.9,0.1,,,,,
bread spell,,nan,True,,,,,,,,,,,,,,,,,,
addition cabbage salt savoy steam without,,nan,True,,,,,,,,,,,,,,,,,,
nut pine,,nut pine,True,nut pine,1 nut,0.2,16.0,13.08,5.53,68.37,251.0,13.69,2.0,1.0,0.8,0.0,,,,,
chorizo,,chorizo,True,chorizo,1 breakfast size link,20.0,37.0,2.63,2.34,28.1,30.0,19.3,983.0,0.0,0.0,1.5,,,,,
chia grain,,chia seed,True,chia seed,Quantity not specified,9.0,631.0,42.12,7.72,30.74,335.0,16.54,16.0,0.0,1.6,0.0,,,,,
fry sausage,,beef pork sausage,True,beef pork sausage,Quantity not specified,60.0,22.0,2.4,1.38,27.98,18.0,15.92,840.0,23.0,9.6,0.8,,,,,
alsace bake french pizza,,cheese crust pizza thick white,True,cheese crust pizza thick white,"1 large pizza (13-15"" diameter)",1112.0,238.0,31.82,2.23,11.41,24.0,11.8,541.0,58.0,0.1,0.1,,,,,
fillet lake perch,,crayfish fry,True,crayfish fry,Quantity not specified,85.0,35.0,11.72,1.53,12.89,25.0,14.06,387.0,14.0,0.7,0.0,,,,,
chip paprika,,chip pita,True,chip pita,1 100 calorie package,20.0,17.0,68.26,4.59,15.2,37.0,11.79,854.0,0.0,0.0,0.0,,,,,
baby bear essence fruit fruit gummi jelly jelly,,candy,True,candy,1 large/king size,120.0,49.0,86.62,0.78,8.26,17.0,1.95,43.0,15.0,0.0,0.0,,,,,
sauce savoury,,cheese sauce,True,cheese sauce,1 dipping-size container,28.0,71.0,7.86,0.56,13.27,6.0,3.14,656.0,19.0,0.0,0.0,,,,,
blue cheese mould,,blue cheese roquefort,True,blue cheese roquefort,1 cubic inch,17.3,528.0,2.34,0.31,28.74,23.0,21.4,1146.0,198.0,0.0,0.5,,,,,
rosé wine,,spritzer wine,True,spritzer wine,1 fl oz,30.0,7.0,1.62,0.22,0.0,7.0,0.04,11.0,0.0,0.0,0.0,,,,,
meat paté terrine,,nan,True,,,,,,,,,,,,,,,,,,
chocolate piece roll,,almond candy chocolate cover,True,almond candy chocolate cover,Quantity not specified,55.0,221.0,44.04,2.9,38.81,149.0,12.97,49.0,35.0,0.0,0.0,,,,,
average goat,,goat,True,goat,1 cup,135.0,17.0,0.0,3.7,3.01,0.0,26.88,392.0,0.0,0.0,0.0,,,,,
cake lemon,,nan,True,,,,,,,,,,,,,,,,,,
coconut milk,,coconut milk,True,coconut milk,Guideline amount per fl oz of beverage,2.5,188.0,2.92,0.3,2.08,0.0,0.21,19.0,63.0,0.0,1.0,,,,,
dry raisin,,raisin,True,raisin,1 miniature box (.5 oz),14.0,62.0,79.32,1.79,0.25,36.0,3.3,26.0,0.0,2.3,0.0,,,,,
caviar eggplant,,nan,True,,,,,,,,,,,,,,,,,,
rice wild,,nan,True,,,,,,,,,,,,,,,,,,
flaky pastry,,nan,True,,,,,,,,,,,,,,,,,,
seed,,chia seed,True,chia seed,Quantity not specified,9.0,631.0,42.12,7.72,30.74,335.0,16.54,16.0,0.0,1.6,0.0,,,,,
ball falafel,,falafel,True,falafel,Quantity not specified,28.0,86.0,28.96,2.31,41.19,31.0,8.28,499.0,12.0,7.3,0.0,,,,,
bread glutenfree,,nan,True,,,,,,,,,,,,,,,,,,
bread kebab pita,,bread pita,True,bread pita,1 small pita,28.0,86.0,55.7,2.62,1.2,26.0,9.1,536.0,0.0,0.0,0.0,,,,,
sausage swiss wienerli,,nan,True,,,,,,,,,,,,,,,,,,
dijon mustard,,dip honey mustard,True,dip honey mustard,Quantity not specified,60.0,24.0,25.16,0.61,18.01,13.0,1.77,509.0,19.0,0.1,0.3,,,,,
cook sausage,,pork sausage,True,pork sausage,1 cocktail or miniature link,10.0,9.0,1.42,1.2,27.25,16.0,18.53,814.0,28.0,0.0,1.4,,,,,
cook mushroom risotto,,bacon fennel pea risotto,True,,,,,,,,,,,,,,,,,,
beef meat mince,,bean meat rice,True,bean meat rice,Quantity not specified,170.0,25.0,23.54,1.64,4.24,33.0,7.49,263.0,1.0,0.3,0.0,,,,,
chocolate,,chocolate dip,True,chocolate dip,1 individual container,70.0,37.0,65.31,0.94,13.22,34.0,3.33,289.0,64.0,0.1,0.0,,,,,
meatloaf,,nan,True,,,,,,,,,,,,,,,,,,
cake fill salt vegetable,,cake fish patty,True,cake fish patty,1 cake or patty,85.0,34.0,10.4,0.72,12.64,30.0,13.63,429.0,47.0,0.5,0.8,,,,,
cantonese fry rice,,nan,True,,,,,,,,,,,,,,,,,,
prawn shrimp small,,shrimp,True,shrimp,1 large/jumbo shrimp,15.0,64.0,4.9,0.53,6.67,26.0,15.46,348.0,63.0,0.0,0.1,,,,,
butter herb,,nan,True,,,,,,,,,,,,,,,,,,
balsamic vinegar,,vinegar,True,vinegar,Quantity not specified,30.0,7.0,0.93,0.2,0.0,5.0,0.0,5.0,0.0,0.0,0.0,,,,,
flour halfwhite large roll void white,,bread nut,True,bread nut,Quantity not specified,49.0,161.0,49.66,2.31,20.1,24.0,6.59,336.0,37.0,0.1,0.6,,,,,
chocolate cooky,,nan,True,,,,,,,,,,,,,,,,,,
corn crisp,,cheese corn flavor snack,True,cheese corn flavor snack,1 large single serving bag,85.0,53.0,54.54,1.69,36.54,18.0,5.46,928.0,13.0,0.1,0.1,,,,,
bagel fill without,,bagel grain white whole,True,bagel grain white whole,1 small,69.0,105.0,48.89,2.76,1.53,51.0,10.2,439.0,0.0,0.0,0.0,,,,,
berry du du green lentil puy,,nan,True,,,,,,,,,,,,,,,,,,
chocolate chocolate drink milk,,chocolate drink milk,True,chocolate drink milk,Quantity not specified,248.0,100.0,10.68,0.33,0.4,11.0,0.64,91.0,60.0,2.0,1.3,,,,,
cocktail,,cocktail,True,cocktail,1 drink,225.0,1.0,7.8,0.02,0.19,0.0,0.0,3.0,0.0,0.0,0.0,,,,,
crouton,,crouton,True,crouton,Quantity not specified,5.0,96.0,63.5,2.82,18.3,42.0,10.8,1333.0,7.0,0.0,0.0,,,,,
cod,,cod fish,True,cod fish,Quantity not specified,140.0,21.0,11.72,1.02,12.48,20.0,13.52,426.0,4.0,0.0,0.4,,,,,
ou soya yahourt yaourt yoghourt yogourt,,soy yogurt,True,soy yogurt,"1 container, NFS",150.0,89.0,12.27,1.08,2.63,27.0,4.83,30.0,42.0,1.5,1.2,,,,,
sausage veal,,marsala veal,True,marsala veal,Quantity not specified,96.0,14.0,6.74,1.05,8.54,24.0,17.82,147.0,43.0,1.4,0.5,,,,,
cheesecake,,nan,True,,,,,,,,,,,,,,,,,,
bleu cordon fry pork schnitzel,,bleu cordon veal,True,bleu cordon veal,Quantity not specified,229.0,97.0,9.34,1.32,9.69,30.0,23.66,443.0,49.0,1.8,0.7,,,,,
butter cheese ham sandwich,,cheese club sandwich wheat,True,cheese club sandwich wheat,Quantity not specified,155.0,192.0,19.13,1.58,10.5,36.0,16.58,798.0,38.0,0.0,0.7,,,,,
butterfly farfalle form pasta,,nan,True,,,,,,,,,,,,,,,,,,
flour grit maize polenta,,creamy meatball polenta,True,,,,,,,,,,,,,,,,,,
croque monsieur,,nan,True,,,,,,,,,,,,,,,,,,
raspberry,,raspberry,True,raspberry,Quantity not specified,75.0,16.0,12.9,0.45,0.19,19.0,1.01,0.0,2.0,23.0,0.0,,,,,
ice tea,,nan,True,,,,,,,,,,,,,,,,,,
lasagne prepare vegetable,,lasagna meatless vegetable,True,lasagna meatless vegetable,"1 piece (1/6 of 8"" square, approx 2-1/2"" x 4"")",227.0,268.0,14.52,0.76,9.38,26.0,11.2,384.0,102.0,3.5,0.2,,,,,
dip,,dip,True,dip,1 individual container,70.0,79.0,3.94,0.32,45.18,10.0,2.55,718.0,83.0,1.7,0.1,,,,,
corn flake,,bran cereal flake flavor,True,bran cereal flake flavor,Quantity not specified,60.0,24.0,78.74,9.85,1.18,28.0,8.13,347.0,0.0,0.3,4.9,,,,,
chard swiss,,cheese swiss,True,cheese swiss,"1 cup, shredded",108.0,890.0,1.44,0.13,31.0,33.0,27.0,185.0,292.0,0.0,0.0,,,,,
noodlesvermicelli rice,,nan,True,,,,,,,,,,,,,,,,,,
tiramisu,,tiramisu,True,tiramisu,1 cubic inch,10.0,65.0,29.44,1.12,23.86,16.0,5.65,173.0,185.0,1.1,0.6,,,,,
pea,,chickpea,True,chickpea,Quantity not specified,92.0,46.0,25.48,2.7,8.91,45.0,8.23,222.0,1.0,1.1,0.0,,,,,
pork roast,,pork roast,True,pork roast,1 cup,135.0,7.0,0.0,0.64,7.49,25.0,26.63,353.0,0.0,0.0,0.4,,,,,
curry sauce,,curry sauce,True,curry sauce,Quantity not specified,32.0,21.0,5.03,0.89,8.22,15.0,1.39,383.0,21.0,5.8,0.1,,,,,
apricot,,apricot,True,apricot,1 slice/chunk,10.0,13.0,11.12,0.39,0.39,10.0,1.4,1.0,96.0,10.0,0.0,,,,,
lamb,,lamb loaf mutton,True,lamb loaf mutton,Quantity not specified,70.0,50.0,7.44,1.29,11.58,17.0,14.05,467.0,35.0,0.5,0.5,,,,,
lasagne meat prepare,,lasagna meat restaurant,True,lasagna meat restaurant,1 cup,250.0,197.0,11.36,0.79,10.69,22.0,10.83,466.0,81.0,0.7,0.0,,,,,
bouquet garni,,nan,True,,,,,,,,,,,,,,,,,,
almond butter puree spread,,almond butter,True,almond butter,1 tablespoon,16.0,263.0,21.11,4.08,52.72,266.0,20.67,232.0,0.0,0.0,0.0,,,,,
cake salt,,bean cake,True,bean cake,1 cake,32.0,15.0,49.88,2.58,21.41,21.0,5.8,186.0,0.0,0.3,0.0,,,,,
large prawn shrimp,,shrimp,True,shrimp,1 large/jumbo shrimp,15.0,64.0,4.9,0.53,6.67,26.0,15.46,348.0,63.0,0.0,0.1,,,,,
bread dough dough pastry pizza puff shortcrust,,cheese crust meat pizza thin white,True,cheese crust meat pizza thin white,"1 medium pizza (11-12"" diameter)",571.0,224.0,22.77,1.8,17.36,23.0,13.56,622.0,62.0,0.1,0.3,,,,,
rice waffels,,waffle,True,waffle,1 thick / Belgian waffle,135.0,299.0,48.39,6.59,9.49,22.0,7.42,460.0,438.0,0.0,0.0,,,,,
cervelat,,beef liver,True,beef liver,"1 slice, any size",85.0,6.0,5.12,6.12,4.64,22.0,26.31,384.0,7683.0,0.7,1.2,,,,,
tea verveine,,herbal hot tea,True,herbal hot tea,Quantity not specified,360.0,2.0,0.2,0.08,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,
sekt,,champagne punch,True,champagne punch,Quantity not specified,180.0,8.0,11.5,0.25,0.06,8.0,0.16,4.0,0.0,4.0,0.0,,,,,
sorbet,,sorbet,True,sorbet,1 bar,80.0,3.0,27.12,0.17,0.05,2.0,0.79,13.0,0.0,5.2,0.0,,,,,
brioche,,brioche,True,brioche,Quantity not specified,70.0,44.0,36.31,2.86,27.46,17.0,8.96,437.0,269.0,0.0,0.9,,,,,
coca cola,,champagne punch,True,champagne punch,Quantity not specified,180.0,8.0,11.5,0.25,0.06,8.0,0.16,4.0,0.0,4.0,0.0,,,,,
coca cola zero,,champagne punch,True,champagne punch,Quantity not specified,180.0,8.0,11.5,0.25,0.06,8.0,0.16,4.0,0.0,4.0,0.0,,,,,
charcuterie meat process,,green ham pork,True,green ham pork,Quantity not specified,108.0,205.0,4.68,1.1,1.41,30.0,4.91,370.0,222.0,40.5,0.1,,,,,
croissant ham,,cheese croissant,True,cheese croissant,1 croissant,57.0,53.0,47.0,2.15,20.9,24.0,9.2,361.0,204.0,0.2,0.0,,,,,
mousse,,mousse,True,mousse,1 cup,170.0,102.0,16.23,0.52,15.12,21.0,4.2,34.0,138.0,0.2,1.5,,,,,
sauce sour sweet,,sauce sour sweet,True,sauce sour sweet,1 tablespoon,16.0,10.0,38.22,0.21,0.02,8.0,0.27,539.0,1.0,8.7,0.0,,,,,
ham turkey,,can turkey,True,can turkey,1 can (5 oz) yields,125.0,14.0,0.9,1.3,8.1,19.0,25.3,482.0,53.0,0.0,0.1,,,,,
rice wholegrain,,adobo rice,True,adobo rice,1 cup,244.0,18.0,8.86,1.34,7.94,21.0,17.69,522.0,4.0,0.0,0.4,,,,,
mungbean sprout,,sprout,True,sprout,Quantity not specified,28.0,13.0,5.94,0.91,0.18,21.0,3.04,6.0,1.0,13.2,0.0,,,,,
ginger tea,,ginger tea,True,ginger tea,1 medium,480.0,3.0,0.18,0.01,0.01,1.0,0.02,4.0,0.0,0.0,0.0,,,,,
basil,,basil,True,basil,1 leaf,0.5,177.0,2.65,3.17,0.64,64.0,3.15,4.0,264.0,18.0,0.0,,,,,
apricot bake cake dough pie,,nan,True,,,,,,,,,,,,,,,,,,
beer light,,beer light,True,beer light,1 can or bottle (16 fl oz),480.0,4.0,1.64,0.03,0.0,5.0,0.24,4.0,0.0,0.0,0.0,,,,,
chop lamb,,chop lamb,True,chop lamb,1 oz yields,20.0,20.0,0.0,1.89,16.27,26.0,27.36,387.0,0.0,0.0,0.1,,,,,
rusk wholemeal,,nan,True,,,,,,,,,,,,,,,,,,
chop coleslaw sauce without,,coleslaw,True,coleslaw,1 cup,220.0,33.0,10.45,0.14,7.98,11.0,0.94,280.0,79.0,26.9,0.0,,,,,
dry fruit mix nut,,fruit mix nut trail,True,fruit mix nut trail,1 package,50.0,61.0,51.06,2.13,26.83,112.0,10.9,134.0,1.0,0.9,0.0,,,,,
beef roast,,beef roast,True,beef roast,1 cup,135.0,15.0,0.0,2.89,9.72,18.0,29.08,372.0,4.0,0.0,0.0,,,,,
alcohol aperitif apérol spritz,,nan,True,,,,,,,,,,,,,,,,,,
nut,,nut,True,nut,Quantity not specified,28.0,93.0,20.9,2.76,53.82,196.0,19.59,313.0,1.0,0.4,0.0,,,,,
cook cream crème custard dessert vanille,,cone cream ice serve soft vanilla,True,cone cream ice serve soft vanilla,Quantity not specified,125.0,156.0,31.44,0.33,4.91,14.0,4.91,81.0,123.0,1.2,0.1,,,,,
sauce tartar,,sauce tartar,True,sauce tartar,Quantity not specified,28.0,26.0,13.3,0.25,16.7,6.0,1.0,667.0,11.0,2.3,0.0,,,,,
country fry,,beef country fry steak,True,beef country fry steak,1 thick,240.0,23.0,7.94,1.8,21.05,19.0,19.9,432.0,2.0,0.0,0.2,,,,,
carbonara sauce,,nan,True,,,,,,,,,,,,,,,,,,
jasmin rice,,adobo rice,True,adobo rice,1 cup,244.0,18.0,8.86,1.34,7.94,21.0,17.69,522.0,4.0,0.0,0.4,,,,,
champagne,,champagne punch,True,champagne punch,Quantity not specified,180.0,8.0,11.5,0.25,0.06,8.0,0.16,4.0,0.0,4.0,0.0,,,,,
meat mince,,bean meat rice,True,bean meat rice,Quantity not specified,170.0,25.0,23.54,1.64,4.24,33.0,7.49,263.0,1.0,0.3,0.0,,,,,
addition carrot salt steam without,,add carrot fat rice white,True,add carrot fat rice white,Quantity not specified,120.0,15.0,22.64,0.97,2.42,11.0,2.16,195.0,204.0,0.9,0.0,,,,,
ebly,,adobo rice,True,adobo rice,1 cup,244.0,18.0,8.86,1.34,7.94,21.0,17.69,522.0,4.0,0.0,0.4,,,,,
high lentil make pasta pea protein,,lentil,True,lentil,1 cup,185.0,18.0,18.71,3.1,6.86,33.0,8.38,218.0,0.0,1.3,0.0,,,,,
burger veggie,,nan,True,,,,,,,,,,,,,,,,,,
bread finger fish,,shellfish,True,shellfish,1 cup,135.0,64.0,4.9,0.53,6.67,26.0,15.46,348.0,63.0,0.0,0.1,,,,,
artichoke,,artichoke,True,artichoke,1 cup,150.0,21.0,11.95,0.61,0.34,42.0,2.89,60.0,1.0,7.4,0.0,,,,,
dry mango,,dry mango,True,dry mango,1 cup,160.0,0.0,78.58,0.23,1.18,20.0,2.45,162.0,67.0,42.3,0.0,,,,,
coconut,,coconut milk,True,coconut milk,Guideline amount per fl oz of beverage,2.5,188.0,2.92,0.3,2.08,0.0,0.21,19.0,63.0,0.0,1.0,,,,,
banana cake,,nan,True,,,,,,,,,,,,,,,,,,
waffle,,waffle,True,waffle,1 thick / Belgian waffle,135.0,299.0,48.39,6.59,9.49,22.0,7.42,460.0,438.0,0.0,0.0,,,,,
apricot dry,,apricot dry,True,apricot dry,1 cup,160.0,55.0,62.64,2.66,0.51,32.0,3.39,10.0,180.0,1.0,0.0,,,,,
fresh watermelon,,watermelon,True,watermelon,Quantity not specified,78.0,7.0,7.55,0.24,0.15,10.0,0.61,1.0,28.0,8.1,0.0,,,,,
couscous prepare taboulé,,nan,True,,,,,,,,,,,,,,,,,,
black forest tart,,nan,True,,,,,,,,,,,,,,,,,,
onion pearl,,nan,True,,,,,,,,,,,,,,,,,,
tzatziki,,nan,True,,,,,,,,,,,,,,,,,,
asian sauce sweetsalted,,dress pasta sauce vegetable,True,dress pasta sauce vegetable,1 cup,150.0,15.0,23.1,1.04,3.54,18.0,4.46,148.0,107.0,8.2,0.0,,,,,
compote fruit,,nan,True,,,,,,,,,,,,,,,,,,
bread olive,,nan,True,,,,,,,,,,,,,,,,,,
margarine,,margarine,True,margarine,Quantity not specified,14.0,16.0,0.82,0.02,65.04,2.0,0.17,694.0,819.0,0.1,3.7,,,,,
asparagus green,,asparagus,True,asparagus,Quantity not specified,68.0,24.0,3.88,2.14,0.12,14.0,2.2,2.0,38.0,5.6,0.0,,,,,
shoot,,sprout,True,sprout,Quantity not specified,28.0,13.0,5.94,0.91,0.18,21.0,3.04,6.0,1.0,13.2,0.0,,,,,
conch form pasta,,cook pasta,True,cook pasta,"1 oz, dry, yields",80.0,7.0,30.68,1.27,0.92,18.0,5.76,232.0,0.0,0.0,0.0,,,,,
grapefruit pomelo,,grapefruit,True,grapefruit,Quantity not specified,154.0,22.0,10.66,0.08,0.14,9.0,0.77,0.0,58.0,31.2,0.0,,,,,
au bake gratin vegetable,,au chicken diet entree freeze gratin rice vegetable,True,au chicken diet entree freeze gratin rice vegetable,1 entree (9.1 oz),258.0,95.0,7.24,0.57,5.41,29.0,10.67,499.0,90.0,6.9,0.0,,,,,
chop pork,,chop pork stuff,True,chop pork stuff,"1 chop, any size",180.0,15.0,7.82,0.73,9.04,22.0,18.37,414.0,28.0,0.3,0.4,,,,,
blackberry,,blackberry,True,blackberry,1 blackberry,5.0,29.0,9.61,0.62,0.49,20.0,1.39,1.0,11.0,21.0,0.0,,,,,
coffee decaffeinate,,brew coffee decaffeinate,True,brew coffee decaffeinate,"1 large pot (60 FO, 12 servings)",1800.0,2.0,0.0,0.05,0.0,5.0,0.1,2.0,0.0,0.0,0.0,,,,,
dry fig,,dry fig,True,dry fig,1 fig,8.0,162.0,63.9,2.03,0.92,68.0,3.3,10.0,0.0,1.2,0.0,,,,,
potatognocchi,,gnocchi potato,True,gnocchi potato,1 piece,26.0,22.0,17.2,0.83,6.33,12.0,2.44,279.0,62.0,1.9,0.2,,,,,
dress italian salad,,nan,True,,,,,,,,,,,,,,,,,,
cake marble,,nan,True,,,,,,,,,,,,,,,,,,
glaze sugar,,sugar,True,sugar,1 teaspoon,4.2,1.0,99.6,0.05,0.32,0.0,0.0,1.0,0.0,0.0,0.0,,,,,
croissant wholegrain,,croissant fruit,True,croissant fruit,Quantity not specified,70.0,36.0,47.04,1.99,19.72,16.0,7.75,287.0,193.0,0.4,0.0,,,,,
fruit tea,,drink ice juice lemonade tea,True,drink ice juice lemonade tea,1 fl oz (with ice),23.0,4.0,9.15,0.04,0.05,5.0,0.2,12.0,1.0,6.3,0.0,,,,,
meat tartar,,steak tartare,True,steak tartare,1 cup,225.0,28.0,0.34,2.12,15.6,17.0,17.45,370.0,42.0,0.2,0.6,,,,,
curd fidm natural,,cheese cottage fat low,True,cheese cottage fat low,Quantity not specified,113.0,103.0,4.31,0.13,2.3,9.0,11.0,321.0,69.0,0.0,0.0,,,,,
asparagus white,,asparagus,True,asparagus,Quantity not specified,68.0,24.0,3.88,2.14,0.12,14.0,2.2,2.0,38.0,5.6,0.0,,,,,
peach,,peach,True,peach,Quantity not specified,150.0,4.0,10.1,0.34,0.27,8.0,0.91,13.0,24.0,4.1,0.0,,,,,
curd,,cheese cottage fat low,True,cheese cottage fat low,Quantity not specified,113.0,103.0,4.31,0.13,2.3,9.0,11.0,321.0,69.0,0.0,0.0,,,,,
beef cook meat pork sausag sausage smoke,,beef loaf make meat pork sauce tomatobased,True,beef loaf make meat pork sauce tomatobased,1 cocktail meatball,9.0,52.0,6.75,1.66,8.18,18.0,13.63,426.0,22.0,2.1,0.4,,,,,
bake cake dough pie rhubarb,,blueberry fill pie,True,blueberry fill pie,Quantity not specified,130.0,27.0,44.38,0.8,0.2,10.0,0.41,12.0,1.0,0.7,0.0,,,,,
cocktail sauce,,cocktail sauce,True,cocktail sauce,1 tablespoon,17.0,26.0,28.22,0.83,1.05,17.0,1.36,1262.0,18.0,11.6,0.0,,,,,
addition addition fat salt stew tomato without without,,beef gravy potato puerto rican stew,True,beef gravy potato puerto rican stew,Quantity not specified,116.0,7.0,14.45,0.45,0.93,13.0,2.46,235.0,0.0,4.7,0.0,,,,,
buckwheat pancake,,nan,True,,,,,,,,,,,,,,,,,,
cherry,,cherry,True,cherry,Quantity not specified,75.0,12.0,16.16,0.11,0.19,12.0,1.04,0.0,3.0,10.4,0.0,,,,,
nectarine,,nectarine,True,nectarine,1 slice/chunk,20.0,2.0,9.18,0.3,0.28,9.0,1.06,13.0,21.0,2.9,0.0,,,,,
fig,,fig,True,fig,Quantity not specified,50.0,35.0,19.18,0.37,0.3,17.0,0.75,1.0,7.0,2.0,0.0,,,,,
damson plum,,can plum,True,can plum,1 fruit,75.0,5.0,13.54,0.13,0.23,5.0,0.52,1.0,11.0,5.7,0.0,,,,,
bean seed,,bean refried,True,bean refried,Quantity not specified,130.0,29.0,13.55,1.44,2.01,35.0,4.98,370.0,0.0,5.7,0.0,,,,,
