name_readable,default_portion,default_portion_in_grams,Calcium_(MG)_per_100G,Carbohydrates_(G)_per_100G,Iron_(MG)_per_100G,Lipid_(G)_per_100G,Magnesium_(MG)_per_100G,Protein_(G)_per_100G,Sodium_(MG)_per_100G,Vitamin_A_(UG)_per_100G,Vitamin_C_(MG)_per_100G,Vitamin_D_(UG)_per_100G,Calcium_(MG)_total,Carbohydrates_(G)_total,Iron_(MG)_total,Lipid_(G)_total,Magnesium_(MG)_total,Protein_(G)_total,Sodium_(MG)_total,Vitamin_A_(UG)_total,Vitamin_C_(MG)_total,Vitamin_D_(UG)_total
Cheese,1 cracker-size slice,9.0,849.0,4.33,0.39,31.26,28.0,20.7,964.0,294.0,0.0,3.0,76.41,0.3897,0.0351,2.8134,2.52,1.863,86.76,26.46,0.0,0.27
Pear,1 slice/chunk,25.0,9.0,15.18,0.18,0.15,7.0,0.37,3.0,1.0,4.3,0.0,2.25,3.795,0.045,0.0375,1.75,0.0925,0.75,0.25,1.075,0.0
Cashew nut,1 package,50.0,44.0,31.4,5.77,47.48,250.0,14.7,399.0,0.0,0.0,0.0,22.0,15.7,2.885,23.74,125.0,7.35,199.5,0.0,0.0,0.0
Almonds,1 100 calorie package,18.0,268.0,21.01,3.73,52.54,279.0,20.96,3.0,0.0,0.0,0.0,48.24,3.7818,0.6714,9.4572,50.22,3.7728,0.54,0.0,0.0,0.0
Lentils,1 cup,185.0,18.0,18.71,3.1,6.86,33.0,8.38,218.0,0.0,1.3,0.0,33.3,34.6135,5.735,12.691,61.05,15.503000000000002,403.3,0.0,2.405,0.0
Cucumber,Quantity not specified,60.0,16.0,2.95,0.0,0.18,10.0,0.62,2.0,5.0,2.8,0.0,9.6,1.77,0.0,0.1079999999999999,6.0,0.372,1.2,3.0,1.68,0.0
Cocoa powder,Quantity not specified,5.0,128.0,57.9,13.86,13.7,499.0,19.6,21.0,0.0,0.0,0.0,6.4,2.895,0.693,0.685,24.95,0.98,1.05,0.0,0.0,0.0
"Buckwheat, grain peeled",Quantity not specified,170.0,8.0,18.99,0.76,3.97,49.0,3.24,170.0,35.0,0.0,0.1,13.6,32.282999999999994,1.2919999999999998,6.749,83.3,5.508000000000001,289.0,59.5,0.0,0.17
Broccoli,1 floweret,10.0,46.0,6.27,0.69,0.34,21.0,2.57,36.0,8.0,91.3,0.0,4.6,0.627,0.0689999999999999,0.034,2.1,0.257,3.6,0.8,9.13,0.0
"Green bean, steamed, without addition of salt",1 cup,90.0,13.0,5.94,0.91,0.18,21.0,3.04,6.0,1.0,13.2,0.0,11.7,5.346,0.8190000000000001,0.162,18.9,2.736,5.4,0.9,11.88,0.0
Sausage,"1 oz, cooked",28.35,9.0,1.42,1.2,27.25,16.0,18.53,814.0,28.0,0.0,1.4,2.5515,0.40257,0.3402,7.725375,4.5360000000000005,5.253255,230.769,7.938000000000001,0.0,0.3969
"(bread, meat substitute, lettuce, sauce)",Quantity not specified,155.0,100.0,19.44,2.12,15.65,18.0,12.1,443.0,75.0,0.0,1.2,155.0,30.132,3.286,24.2575,27.9,18.755,686.65,116.25,0.0,1.86
Tart,Quantity not specified,125.0,22.0,42.6,1.22,16.1,10.0,3.0,333.0,5.0,1.3,0.0,27.5,53.25,1.525,20.125000000000004,12.5,3.75,416.25,6.25,1.625,0.0
Rice,1 cup,244.0,18.0,8.86,1.34,7.94,21.0,17.69,522.0,4.0,0.0,0.4,43.92,21.6184,3.2696000000000005,19.3736,51.24,43.1636,1273.68,9.76,0.0,0.976
"Tomato, raw ",1 slice,20.0,10.0,4.04,0.22,0.31,10.0,0.82,4.0,32.0,16.3,0.0,2.0,0.8079999999999999,0.044,0.062,2.0,0.1639999999999999,0.8,6.4,3.26,0.0
"White coffee, with caffeine",1 fl oz,31.0,96.0,10.22,0.02,1.47,25.0,2.56,46.0,63.0,0.2,0.8,29.76,3.1682,0.0062,0.4557,7.75,0.7936,14.26,19.53,0.062,0.248
Apple,1 medium,200.0,5.0,14.8,0.03,0.15,5.0,0.17,0.0,3.0,4.6,0.0,10.0,29.6,0.06,0.3,10.0,0.34,0.0,6.0,9.2,0.0
Linseeds,Quantity not specified,28.0,66.0,21.73,4.87,49.61,234.0,21.96,7.0,0.0,1.5,0.0,18.48,6.0844000000000005,1.3636,13.8908,65.52,6.1488,1.96,0.0,0.42,0.0
Sunflower seeds,1 package,50.0,70.0,24.07,3.8,49.8,129.0,19.33,3.0,0.0,1.4,0.0,35.0,12.035,1.9,24.9,64.5,9.665,1.5,0.0,0.7,0.0
Lye pretzel (soft),1 small,62.0,23.0,69.38,3.83,4.0,21.0,8.01,775.0,8.0,0.0,0.0,14.26,43.01559999999999,2.3746,2.48,13.02,4.9662,480.5,4.96,0.0,0.0
Butter,1 tablespoon,14.0,21.0,0.06,0.06,82.2,2.0,0.85,524.0,758.0,0.0,0.4,2.94,0.0084,0.0084,11.508,0.28,0.119,73.36,106.12,0.0,0.056
"Soup, cream of vegetables",1 individual container,440.0,19.0,7.83,0.36,4.72,13.0,1.41,245.0,75.0,9.0,0.2,83.6,34.452,1.584,20.768,57.2,6.204,1078.0,330.0,39.6,0.88
Banana,Quantity not specified,126.0,5.0,22.71,0.0,0.28,28.0,0.74,0.0,1.0,12.0,0.0,6.3,28.6146,0.0,0.3528,35.28,0.9324,0.0,1.26,15.12,0.0
"Pasta, noodles","1 oz, dry, yields",80.0,7.0,30.68,1.27,0.92,18.0,5.76,232.0,0.0,0.0,0.0,5.6,24.544,1.016,0.7360000000000001,14.4,4.608,185.6,0.0,0.0,0.0
Cream,Quantity not specified,20.0,61.0,3.8,0.0,35.56,6.0,2.02,21.0,327.0,0.6,1.6,12.2,0.76,0.0,7.112,1.2,0.4039999999999999,4.2,65.4,0.12,0.32
"Salad, leaf / salad, green",1 tablespoon,15.6,28.0,5.9,0.3,44.54,5.0,1.32,810.0,15.0,0.0,0.1,4.368,0.9204,0.0467999999999999,6.948239999999999,0.78,0.20592,126.36,2.34,0.0,0.0156
White cabbage,Quantity not specified,45.0,105.0,2.18,0.8,0.2,19.0,1.5,65.0,223.0,45.0,0.0,47.25,0.981,0.36,0.09,8.55,0.675,29.25,100.35,20.25,0.0
"Applesauce, unsweetened, canned",Quantity not specified,120.0,4.0,12.26,0.04,0.16,4.0,0.27,1.0,0.0,43.7,0.0,4.8,14.712,0.048,0.192,4.8,0.324,1.2,0.0,52.44,0.0
Mushrooms,Quantity not specified,35.0,5.0,4.13,0.23,0.35,10.0,2.9,6.0,0.0,2.1,0.0,1.75,1.4454999999999998,0.0805,0.1225,3.5,1.015,2.1,0.0,0.735,0.0
Mushroom,Quantity not specified,35.0,5.0,4.13,0.23,0.35,10.0,2.9,6.0,0.0,2.1,0.0,1.75,1.4454999999999998,0.0805,0.1225,3.5,1.015,2.1,0.0,0.735,0.0
Egg,1 egg white,33.0,7.0,2.36,0.08,0.0,11.0,10.7,166.0,0.0,0.0,0.0,2.31,0.7787999999999999,0.0264,0.0,3.63,3.531,54.78,0.0,0.0,0.0
"Bread, white",Quantity not specified,28.0,211.0,49.2,3.36,3.59,27.0,9.43,450.0,0.0,0.0,0.0,59.08,13.776000000000002,0.9408,1.0052,7.56,2.6404,126.0,0.0,0.0,0.0
"Coffee, with caffeine",1 fl oz,31.0,96.0,10.22,0.02,1.47,25.0,2.56,46.0,63.0,0.2,0.8,29.76,3.1682,0.0062,0.4557,7.75,0.7936,14.26,19.53,0.062,0.248
"Beef, sirloin steak",1 regular,160.0,18.0,0.0,3.21,4.25,17.0,29.72,382.0,5.0,0.0,0.0,28.8,0.0,5.136,6.8,27.2,47.552,611.2,8.0,0.0,0.0
Mandarine,Quantity not specified,109.0,37.0,13.34,0.15,0.31,12.0,0.81,2.0,34.0,26.7,0.0,40.33,14.5406,0.1634999999999999,0.3379,13.08,0.8829,2.18,37.06,29.103,0.0
"Juice, apple",1 fun size box (4.23 fl oz),131.0,7.0,11.34,0.06,0.25,5.0,0.09,5.0,0.0,38.6,0.0,9.17,14.8554,0.0785999999999999,0.3275,6.55,0.1178999999999999,6.55,0.0,50.566,0.0
Caprese salad (Tomato Mozzarella),1 stick,28.35,693.0,4.44,0.2,20.4,27.0,23.7,699.0,203.0,0.0,0.4,196.4655,1.2587400000000002,0.0567,5.7834,7.6545,6.71895,198.1665,57.5505,0.0,0.1134
"Wine, red",1/2 bottle,375.0,8.0,2.61,0.46,0.0,12.0,0.07,4.0,0.0,0.0,0.0,30.0,9.7875,1.725,0.0,45.0,0.2625,15.0,0.0,0.0,0.0
"Pasta, ravioli, stuffing",1 cup,160.0,32.0,17.7,2.29,7.42,15.0,12.59,770.0,35.0,0.1,0.4,51.2,28.32,3.664,11.872,24.0,20.144,1232.0,56.0,0.16,0.64
"Omelette, plain",1 cup,135.0,46.0,0.91,1.56,15.0,10.0,11.58,248.0,193.0,0.0,2.4,62.1,1.2285,2.106,20.25,13.5,15.633,334.8,260.55,0.0,3.24
Dark chocolate,1 individual school container,248.0,109.0,12.13,0.24,1.9,14.0,2.99,66.0,64.0,0.0,1.2,270.32,30.082400000000003,0.5952,4.712,34.72,7.415200000000001,163.68,158.72,0.0,2.9759999999999995
Kaki,1 fl oz (with ice),23.0,12.0,17.45,1.18,0.03,14.0,0.61,4.0,0.0,4.1,0.0,2.76,4.0135,0.2714,0.0069,3.22,0.1402999999999999,0.92,0.0,0.943,0.0
"Carrot, raw",1 single serving bag,80.0,36.0,9.68,0.12,0.24,12.0,0.87,75.0,762.0,4.2,0.0,28.8,7.744,0.096,0.192,9.6,0.696,60.0,609.6,3.36,0.0
"Crêpe, plain",1 surface inch,1.3,95.0,22.02,1.87,11.29,17.0,8.85,278.0,98.0,0.0,1.5,1.235,0.28626,0.02431,0.1467699999999999,0.221,0.11505,3.614,1.274,0.0,0.0195
Jam,1 tablespoon,20.0,20.0,68.86,0.49,0.07,4.0,0.37,32.0,0.0,8.8,0.0,4.0,13.772,0.098,0.014,0.8,0.074,6.4,0.0,1.76,0.0
Chicken nuggets,1 cup,140.0,11.0,14.93,0.83,20.36,24.0,15.92,594.0,5.0,0.6,0.2,15.4,20.902,1.162,28.504,33.6,22.288,831.6,7.0,0.84,0.28
"Soup, pumpkin",1 individual container,440.0,23.0,6.86,0.74,4.7,12.0,1.1,241.0,368.0,2.3,0.2,101.2,30.184,3.256,20.68,52.8,4.840000000000001,1060.4,1619.2,10.12,0.88
Sushi,1 piece,30.0,6.0,18.39,0.21,0.67,13.0,2.92,428.0,4.0,0.9,0.0,1.8,5.517,0.063,0.201,3.9,0.8759999999999999,128.4,1.2,0.27,0.0
Chestnuts,Quantity not specified,28.0,29.0,52.96,0.91,2.2,33.0,3.17,2.0,1.0,26.0,0.0,8.12,14.8288,0.2548,0.6160000000000001,9.24,0.8876,0.56,0.28,7.28,0.0
"Sauce, soya",Quantity not specified,16.0,33.0,4.93,1.45,0.57,74.0,8.14,5493.0,0.0,0.0,0.0,5.28,0.7888,0.2319999999999999,0.0911999999999999,11.84,1.3024,878.88,0.0,0.0,0.0
Chinese cabbage,Quantity not specified,45.0,105.0,2.18,0.8,0.2,19.0,1.5,65.0,223.0,45.0,0.0,47.25,0.981,0.36,0.09,8.55,0.675,29.25,100.35,20.25,0.0
"Bread, whole wheat","1 slice, snack-size",10.0,163.0,43.1,2.56,3.55,77.0,12.3,430.0,0.0,0.0,0.0,16.3,4.31,0.256,0.355,7.7,1.23,43.0,0.0,0.0,0.0
Eggplant,Quantity not specified,40.0,9.0,5.88,0.23,0.18,14.0,0.98,2.0,1.0,2.2,0.0,3.6,2.352,0.092,0.072,5.6,0.392,0.8,0.4,0.88,0.0
Onion,Quantity not specified,15.0,17.0,8.46,0.24,0.08,9.0,0.86,1.0,0.0,8.2,0.0,2.55,1.269,0.036,0.012,1.35,0.129,0.15,0.0,1.2299999999999998,0.0
Garlic,1 clove,3.0,181.0,28.2,1.7,0.38,25.0,6.62,17.0,0.0,10.0,0.0,5.43,0.846,0.051,0.0114,0.75,0.1986,0.51,0.0,0.3,0.0
"Pizza, with vegetables, baked",1 cup,168.0,286.0,7.66,0.97,22.03,27.0,17.55,837.0,98.0,11.0,0.6,480.48,12.8688,1.6296000000000002,37.0104,45.36,29.484,1406.16,164.64,18.48,1.008
Black olives,1 olive,5.0,88.0,6.04,6.28,10.9,4.0,0.84,735.0,17.0,0.9,0.0,4.4,0.302,0.314,0.545,0.2,0.042,36.75,0.85,0.045,0.0
"Salad, lambs' ear",1 cup,255.0,16.0,6.29,0.79,6.39,17.0,8.19,308.0,129.0,7.0,0.0,40.8,16.0395,2.0145,16.2945,43.35,20.8845,785.4,328.95,17.85,0.0
Glucose drink 50g,1 can (20 fl oz),620.0,0.0,11.28,0.04,0.0,0.0,0.47,77.0,0.0,0.0,0.0,0.0,69.93599999999999,0.248,0.0,0.0,2.914,477.4,0.0,0.0,0.0
Mozzarella,1 cubic inch,18.0,693.0,4.44,0.2,20.4,27.0,23.7,699.0,203.0,0.0,0.4,124.74,0.7992,0.036,3.672,4.86,4.266,125.82,36.54,0.0,0.072
Cauliflower,Quantity not specified,55.0,22.0,4.97,0.42,0.28,15.0,1.92,30.0,0.0,48.2,0.0,12.1,2.7335,0.2309999999999999,0.154,8.25,1.056,16.5,0.0,26.51,0.0
"Quiche, with spinach, baked, with cake dough","1 piece (1/8 of 9"" dia)",143.0,231.0,11.68,1.08,23.51,39.0,10.29,317.0,264.0,4.3,0.9,330.33,16.7024,1.5444,33.6193,55.77,14.7147,453.31,377.52,6.149,1.287
Green olives,1 cup,135.0,52.0,3.84,0.49,15.32,11.0,1.03,1556.0,20.0,0.0,0.0,70.2,5.184,0.6615000000000001,20.682,14.85,1.3905,2100.6,27.0,0.0,0.0
"Bell pepper, red, raw ",1 miniature,30.0,6.0,6.71,0.36,2.78,11.0,0.92,126.0,162.0,121.5,0.0,1.8,2.013,0.1079999999999999,0.834,3.3,0.276,37.8,48.6,36.45,0.0
Brazil nut,1 cup,133.0,160.0,11.74,2.43,67.1,376.0,14.32,3.0,0.0,0.7,0.0,212.8,15.6142,3.2319,89.243,500.08,19.0456,3.99,0.0,0.931,0.0
"Bread, pita",1 small pita,28.0,86.0,55.7,2.62,1.2,26.0,9.1,536.0,0.0,0.0,0.0,24.08,15.596000000000002,0.7336,0.336,7.28,2.548,150.08,0.0,0.0,0.0
"Pasta, wholemeal","1 cup, cooked",140.0,13.0,29.89,1.71,1.7,54.0,5.95,235.0,0.0,0.0,0.0,18.2,41.846,2.394,2.38,75.6,8.33,329.0,0.0,0.0,0.0
"Soup of lentils, Dahl (Dhal)",1 cup,255.0,15.0,7.22,0.86,0.64,12.0,2.48,264.0,52.0,1.8,0.0,38.25,18.411,2.193,1.632,30.6,6.324,673.2,132.6,4.59,0.0
"Bread, toast",1 small or thin/very thin slice,22.0,80.0,53.08,3.11,3.63,44.0,9.34,626.0,0.0,0.4,0.0,17.6,11.6776,0.6842,0.7986,9.68,2.0548,137.72,0.0,0.088,0.0
"Pasta, penne","1 oz, dry, yields",80.0,7.0,30.68,1.27,0.92,18.0,5.76,232.0,0.0,0.0,0.0,5.6,24.544,1.016,0.7360000000000001,14.4,4.608,185.6,0.0,0.0,0.0
Salmon,"1 oz, dry, yields",80.0,7.0,30.68,1.27,0.92,18.0,5.76,232.0,0.0,0.0,0.0,5.6,24.544,1.016,0.7360000000000001,14.4,4.608,185.6,0.0,0.0,0.0
Water with lemon juice,Quantity not specified,8.0,6.0,6.9,0.08,0.24,6.0,0.35,1.0,0.0,38.7,0.0,0.48,0.552,0.0064,0.0192,0.48,0.0279999999999999,0.08,0.0,3.096,0.0
"Espresso, with caffeine",1 espresso cup (2 fl oz),60.0,2.0,1.67,0.13,0.18,80.0,0.12,14.0,0.0,0.2,0.0,1.2,1.0019999999999998,0.078,0.1079999999999999,48.0,0.072,8.4,0.0,0.12,0.0
"Egg, scrambled, prepared",1 cup,135.0,46.0,0.91,1.56,15.0,10.0,11.58,248.0,193.0,0.0,2.4,62.1,1.2285,2.106,20.25,13.5,15.633,334.8,260.55,0.0,3.24
"Juice, orange",1 individual school container,124.0,56.0,10.17,0.06,0.34,10.0,0.77,2.0,2.0,28.7,0.4,69.44,12.6108,0.0744,0.4216,12.4,0.9548,2.48,2.48,35.587999999999994,0.496
Ice cubes,Quantity not specified,360.0,6.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,21.6,0.0,0.0,0.0,7.2,0.0,10.8,0.0,0.0,0.0
Water,Quantity not specified,360.0,6.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,21.6,0.0,0.0,0.0,7.2,0.0,10.8,0.0,0.0,0.0
Braided white loaf,1 medium or regular slice,25.0,232.0,54.07,3.69,3.94,30.0,10.36,495.0,0.0,0.0,0.0,58.0,13.5175,0.9225,0.985,7.5,2.59,123.75,0.0,0.0,0.0
Emmental cheese,1 package (6 oz),170.0,1011.0,0.36,0.17,32.34,36.0,29.81,714.0,271.0,0.0,0.6,1718.7,0.612,0.289,54.978,61.2,50.677,1213.8,460.7,0.0,1.02
"Hazelnut-chocolate spread(Nutella, Ovomaltine, Caotina)",1 cup,160.0,137.0,44.14,2.04,37.66,109.0,14.33,50.0,35.0,0.0,0.0,219.2,70.624,3.264,60.25599999999999,174.4,22.928,80.0,56.0,0.0,0.0
"Water, mineral",Quantity not specified,360.0,6.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,21.6,0.0,0.0,0.0,7.2,0.0,10.8,0.0,0.0,0.0
"Quiche, with cheese, baked, with puff pastry",Quantity not specified,70.0,121.0,13.4,1.38,19.54,13.0,9.3,554.0,212.0,0.0,1.3,84.7,9.38,0.966,13.678,9.1,6.51,387.8,148.4,0.0,0.91
Hazelnut,1 nut,1.5,114.0,16.7,4.7,60.75,163.0,14.95,0.0,1.0,6.3,0.0,1.71,0.2504999999999999,0.0705,0.91125,2.445,0.2242499999999999,0.0,0.015,0.0944999999999999,0.0
"Bread, nut",Quantity not specified,49.0,161.0,49.66,2.31,20.1,24.0,6.59,336.0,37.0,0.1,0.6,78.89,24.3334,1.1319,9.849,11.76,3.2291,164.64,18.13,0.049,0.294
"Curry, vegetarian",Quantity not specified,240.0,21.0,8.81,0.68,5.27,16.0,1.6,388.0,66.0,12.3,0.0,50.4,21.144,1.632,12.648,38.4,3.84,931.2,158.4,29.52,0.0
"Mashed potatoes, prepared, with full fat milk, with butter",1 small,130.0,15.0,20.07,1.03,4.02,27.0,2.41,181.0,37.0,9.1,0.0,19.5,26.091,1.339,5.225999999999999,35.1,3.133,235.3,48.1,11.83,0.0
"Spinach, raw",1 leaf,10.0,68.0,2.41,1.26,0.62,93.0,2.85,111.0,283.0,26.5,0.0,6.8,0.241,0.126,0.062,9.3,0.285,11.1,28.3,2.65,0.0
Naan (indien bread),"1 piece (1/4 of 10"" dia)",44.0,64.0,50.23,1.88,7.28,74.0,11.09,508.0,2.0,0.0,0.0,28.16,22.1012,0.8271999999999999,3.2032,32.56,4.8796,223.52,0.88,0.0,0.0
Cream spinach,Quantity not specified,100.0,58.0,6.11,0.76,6.09,67.0,2.39,450.0,257.0,15.1,0.3,58.0,6.11,0.76,6.09,67.0,2.39,450.0,257.0,15.1,0.3
"Sauce, cream",1 cup,260.0,29.0,3.56,0.58,6.57,10.0,1.15,247.0,60.0,7.8,0.2,75.4,9.256,1.5079999999999998,17.082,26.0,2.99,642.2,156.0,20.28,0.52
"Bread, French (white flour)",1 small or thin/very thin slice,32.0,52.0,51.88,3.91,2.42,32.0,10.75,602.0,0.0,0.0,0.0,16.64,16.6016,1.2512,0.7744,10.24,3.44,192.64,0.0,0.0,0.0
Tomme,1 packet,44.0,51.0,25.6,0.12,1.01,15.0,1.52,814.0,5.0,0.5,0.0,22.44,11.264,0.0527999999999999,0.4443999999999999,6.6,0.6688,358.16,2.2,0.22,0.0
"Vegetable mix, peas and carrots",1 Burger King side salad,98.0,32.0,4.58,0.31,0.2,19.0,1.07,39.0,239.0,9.6,0.0,31.36,4.4884,0.3038,0.196,18.62,1.0486,38.22,234.22,9.408,0.0
Parsley,Quantity not specified,4.0,138.0,6.33,6.2,0.79,50.0,2.97,56.0,421.0,133.0,0.0,5.52,0.2532,0.248,0.0316,2.0,0.1188,2.24,16.84,5.32,0.0
Salami,"1 slice, NFS",28.0,24.0,0.72,1.36,31.65,20.0,21.07,1756.0,11.0,0.0,0.9,6.72,0.2016,0.3808,8.862,5.6,5.8996,491.68,3.08,0.0,0.252
"Beetroot, steamed, without addition of salt",1 cup,150.0,122.0,4.51,2.68,2.87,73.0,2.3,365.0,325.0,21.9,0.0,183.0,6.765,4.02,4.305,109.5,3.45,547.5,487.5,32.85,0.0
Dried meat,1 regular,160.0,18.0,0.0,3.21,4.25,17.0,29.72,382.0,5.0,0.0,0.0,28.8,0.0,5.136,6.8,27.2,47.552,611.2,8.0,0.0,0.0
Mixed salad (chopped without sauce),Quantity not specified,74.0,31.0,4.09,0.31,0.19,20.0,1.19,34.0,178.0,15.8,0.0,22.94,3.0266,0.2294,0.1406,14.8,0.8806,25.16,131.72,11.692,0.0
Feta,1 cubic inch,17.0,371.0,5.58,0.07,19.08,18.0,19.71,1034.0,147.0,0.0,0.0,63.07,0.9486,0.0119,3.2436,3.06,3.3507,175.78,24.99,0.0,0.0
Chickpeas,Quantity not specified,92.0,46.0,25.48,2.7,8.91,45.0,8.23,222.0,1.0,1.1,0.0,42.32,23.4416,2.484,8.1972,41.4,7.571600000000001,204.24,0.92,1.012,0.0
Oil,1 tablespoon,14.0,1.0,0.0,0.56,100.0,0.0,0.0,2.0,0.0,0.0,0.0,0.14,0.0,0.0784,14.0,0.0,0.0,0.28,0.0,0.0,0.0
"Potato salad, with mayonnaise yogurt dressing",Quantity not specified,138.0,10.0,15.81,0.3,11.14,16.0,1.51,179.0,4.0,5.8,0.0,13.8,21.8178,0.414,15.373200000000002,22.08,2.0838,247.02,5.52,8.004,0.0
Kolhrabi,Quantity not specified,68.0,24.0,6.2,0.4,0.1,19.0,1.7,20.0,2.0,62.0,0.0,16.32,4.216,0.272,0.068,12.92,1.156,13.6,1.36,42.16,0.0
Alfa sprouts,Quantity not specified,17.0,32.0,2.1,0.96,0.69,27.0,3.99,6.0,8.0,8.2,0.0,5.44,0.357,0.1632,0.1172999999999999,4.59,0.6783,1.02,1.36,1.3939999999999997,0.0
Brussel sprouts,1 cup,90.0,42.0,8.95,1.4,0.3,23.0,3.38,25.0,38.0,85.0,0.0,37.8,8.055,1.2599999999999998,0.27,20.7,3.042,22.5,34.2,76.5,0.0
"Bacon, cooking",Guideline amount if topping,8.0,9.0,1.4,3.14,34.4,27.0,31.3,1500.0,0.0,0.0,0.2,0.72,0.1119999999999999,0.2512,2.752,2.16,2.504,120.0,0.0,0.0,0.016
Pumpkin,Quantity not specified,150.0,91.0,36.34,1.24,9.78,19.0,4.76,252.0,327.0,2.2,0.3,136.5,54.51000000000001,1.86,14.67,28.5,7.14,378.0,490.5,3.3,0.45
"Tea, black",1 small,360.0,0.0,0.3,0.02,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.08,0.072,0.0,10.8,0.0,10.8,0.0,0.0,0.0
Tea,1 small,360.0,0.0,0.3,0.02,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.08,0.072,0.0,10.8,0.0,10.8,0.0,0.0,0.0
Kiwi,1 fruit,75.0,35.0,14.0,0.24,0.44,16.0,1.06,5.0,4.0,74.7,0.0,26.25,10.5,0.18,0.33,12.0,0.795,3.75,3.0,56.025,0.0
"Chocolate egg, small",1 individual school container,248.0,128.0,10.98,0.24,0.83,13.0,3.44,68.0,55.0,0.6,1.1,317.44,27.2304,0.5952,2.0584,32.24,8.5312,168.64,136.4,1.4879999999999998,2.728
"Zucchini, stewed, without addition of fat, without addition of salt",Quantity not specified,124.0,19.0,11.77,1.67,2.71,23.0,4.33,207.0,7.0,3.2,0.0,23.56,14.5948,2.0708,3.3604000000000003,28.52,5.369199999999999,256.68,8.68,3.968,0.0
"Bread, black","1 slice, snack-size",10.0,68.0,47.5,2.87,3.1,54.0,8.7,596.0,0.0,0.0,0.0,6.8,4.75,0.287,0.31,5.4,0.87,59.6,0.0,0.0,0.0
Mango,1 slice/chunk,25.0,11.0,14.98,0.16,0.38,10.0,0.82,1.0,54.0,36.4,0.0,2.75,3.745,0.04,0.095,2.5,0.205,0.25,13.5,9.1,0.0
"Spinach, steamed, without addition of salt",1 individual container,70.0,120.0,5.07,0.44,32.76,22.0,4.21,620.0,151.0,1.6,0.1,84.0,3.5490000000000004,0.308,22.932,15.4,2.947,434.0,105.7,1.12,0.07
Fish,1 cubic inch,17.0,17.0,6.64,0.86,14.52,27.0,19.32,350.0,29.0,0.9,5.3,2.89,1.1288,0.1462,2.4684,4.59,3.2844,59.5,4.93,0.153,0.901
Crisps,1 cup,250.0,15.0,30.18,1.0,9.59,30.0,2.81,119.0,76.0,0.6,0.0,37.5,75.45,2.5,23.975,75.0,7.025,297.5,190.0,1.5,0.0
Pork,1 cubic inch,17.0,10.0,0.0,0.79,8.67,26.0,27.14,348.0,0.0,0.0,0.7,1.7,0.0,0.1343,1.4738999999999998,4.42,4.6138,59.16,0.0,0.0,0.1189999999999999
Milk Chocolate with hazelnuts,Guideline amount per slice of bread/roll,20.0,108.0,62.36,4.38,29.73,64.0,5.41,41.0,1.0,0.0,0.0,21.6,12.472,0.8759999999999999,5.946000000000001,12.8,1.082,8.2,0.2,0.0,0.0
"Flakes, oat","1 cup, dry, yields",485.0,12.0,11.17,0.67,2.63,24.0,2.18,81.0,16.0,0.0,0.0,58.2,54.1745,3.2495000000000003,12.7555,116.4,10.573000000000002,392.85,77.6,0.0,0.0
"Bread, grain","1 slice, crust not eaten",13.0,196.0,52.21,3.2,3.26,28.0,8.82,408.0,0.0,0.2,0.0,25.48,6.7873,0.416,0.4237999999999999,3.64,1.1466,53.04,0.0,0.026,0.0
"Bread, 5-grain","1 slice, crust not eaten",13.0,196.0,52.21,3.2,3.26,28.0,8.82,408.0,0.0,0.2,0.0,25.48,6.7873,0.416,0.4237999999999999,3.64,1.1466,53.04,0.0,0.026,0.0
Tuna,Quantity not specified,90.0,18.0,0.08,1.67,0.94,23.0,19.0,219.0,17.0,0.0,1.2,16.2,0.072,1.503,0.846,20.7,17.1,197.1,15.3,0.0,1.08
Walnut,1 cup,120.0,88.0,10.91,2.24,69.74,142.0,14.56,0.0,1.0,1.3,0.0,105.6,13.092,2.688,83.68799999999999,170.4,17.472,0.0,1.2,1.56,0.0
Ratatouille,Quantity not specified,108.0,21.0,5.77,0.44,4.73,14.0,1.09,151.0,20.0,18.7,0.0,22.68,6.231599999999999,0.4752,5.1084000000000005,15.12,1.1772,163.08,21.6,20.196,0.0
Bacon,1 tablespoon,7.0,101.0,28.6,0.72,25.9,95.0,32.0,1770.0,0.0,1.9,0.0,7.07,2.002,0.0504,1.813,6.65,2.24,123.9,0.0,0.1329999999999999,0.0
