name_readable,default_portion,default_portion_in_grams,Calcium_(MG)_per_100G,Carbohydrates_(G)_per_100G,Iron_(MG)_per_100G,Lipid_(G)_per_100G,Magnesium_(MG)_per_100G,Protein_(G)_per_100G,Sodium_(MG)_per_100G,Vitamin_A_(UG)_per_100G,Vitamin_C_(MG)_per_100G,Vitamin_D_(UG)_per_100G,Calcium_(MG)_total,Carbohydrates_(G)_total,Iron_(MG)_total,Lipid_(G)_total,Magnesium_(MG)_total,Protein_(G)_total,Sodium_(MG)_total,Vitamin_A_(UG)_total,Vitamin_C_(MG)_total,Vitamin_D_(UG)_total
Spring roll (fried),Quantity not specified,120.0,72.0,39.94,0.96,19.82,20.0,4.19,575.0,0.0,1.5,0.0,86.4,47.92799999999999,1.152,23.784,24.0,5.0280000000000005,690.0,0.0,1.8,0.0
Muffin,1 small,70.0,44.0,53.0,1.3,16.07,10.0,4.49,336.0,21.0,0.9,0.1,30.8,37.1,0.91,11.249,7.0,3.143,235.2,14.7,0.63,0.07
Pine nuts,1 nut,0.2,16.0,13.08,5.53,68.37,251.0,13.69,2.0,1.0,0.8,0.0,0.032,0.02616,0.01106,0.13674,0.502,0.02738,0.004,0.002,0.0016,0.0
Chorizo,1 breakfast size link,20.0,37.0,2.63,2.34,28.1,30.0,19.3,983.0,0.0,0.0,1.5,7.4,0.5259999999999999,0.4679999999999999,5.62,6.0,3.86,196.6,0.0,0.0,0.3
Chia grains,Quantity not specified,9.0,631.0,42.12,7.72,30.74,335.0,16.54,16.0,0.0,1.6,0.0,56.79,3.7908,0.6948000000000001,2.7665999999999995,30.15,1.4886,1.44,0.0,0.144,0.0
Frying sausage,Quantity not specified,60.0,22.0,2.4,1.38,27.98,18.0,15.92,840.0,23.0,9.6,0.8,13.2,1.44,0.828,16.788,10.8,9.552,504.0,13.8,5.76,0.48
"French pizza from Alsace, baked","1 large pizza (13-15"" diameter)",1112.0,238.0,31.82,2.23,11.41,24.0,11.8,541.0,58.0,0.1,0.1,2646.56,353.83840000000004,24.7976,126.8792,266.88,131.216,6015.92,644.96,1.112,1.112
Perch fillets (lake),Quantity not specified,85.0,35.0,11.72,1.53,12.89,25.0,14.06,387.0,14.0,0.7,0.0,29.75,9.962,1.3005000000000002,10.9565,21.25,11.951,328.95,11.9,0.595,0.0
Paprika chips,1 100 calorie package,20.0,17.0,68.26,4.59,15.2,37.0,11.79,854.0,0.0,0.0,0.0,3.4,13.652,0.918,3.04,7.4,2.358,170.8,0.0,0.0,0.0
"Gummi bears, fruit jellies, Jelly babies with fruit essence",1 large/king size,120.0,49.0,86.62,0.78,8.26,17.0,1.95,43.0,15.0,0.0,0.0,58.8,103.94400000000002,0.936,9.912,20.4,2.34,51.6,18.0,0.0,0.0
Sauce (savoury),1 dipping-size container,28.0,71.0,7.86,0.56,13.27,6.0,3.14,656.0,19.0,0.0,0.0,19.88,2.2008,0.1568,3.7156,1.68,0.8792,183.68,5.32,0.0,0.0
Blue mould cheese,1 cubic inch,17.3,528.0,2.34,0.31,28.74,23.0,21.4,1146.0,198.0,0.0,0.5,91.344,0.40482,0.05363,4.97202,3.979000000000001,3.7022,198.258,34.254,0.0,0.0865
"Wine, rosé",1 fl oz,30.0,7.0,1.62,0.22,0.0,7.0,0.04,11.0,0.0,0.0,0.0,2.1,0.486,0.066,0.0,2.1,0.012,3.3,0.0,0.0,0.0
Roll with pieces of chocolate,Quantity not specified,55.0,221.0,44.04,2.9,38.81,149.0,12.97,49.0,35.0,0.0,0.0,121.55,24.222,1.595,21.3455,81.95,7.133500000000001,26.95,19.25,0.0,0.0
"Goat, (average), raw",1 cup,135.0,17.0,0.0,3.7,3.01,0.0,26.88,392.0,0.0,0.0,0.0,22.95,0.0,4.995,4.0635,0.0,36.288,529.2,0.0,0.0,0.0
Coconut milk,Guideline amount per fl oz of beverage,2.5,188.0,2.92,0.3,2.08,0.0,0.21,19.0,63.0,0.0,1.0,4.7,0.073,0.0075,0.052,0.0,0.00525,0.475,1.575,0.0,0.025
Dried raisins,1 miniature box (.5 oz),14.0,62.0,79.32,1.79,0.25,36.0,3.3,26.0,0.0,2.3,0.0,8.68,11.1048,0.2506,0.035,5.04,0.4619999999999999,3.64,0.0,0.3219999999999999,0.0
Seeds,Quantity not specified,9.0,631.0,42.12,7.72,30.74,335.0,16.54,16.0,0.0,1.6,0.0,56.79,3.7908,0.6948000000000001,2.7665999999999995,30.15,1.4886,1.44,0.0,0.144,0.0
Falafel (balls),Quantity not specified,28.0,86.0,28.96,2.31,41.19,31.0,8.28,499.0,12.0,7.3,0.0,24.08,8.1088,0.6468,11.5332,8.68,2.3184,139.72,3.36,2.044,0.0
Kebab in pita bread,1 small pita,28.0,86.0,55.7,2.62,1.2,26.0,9.1,536.0,0.0,0.0,0.0,24.08,15.596000000000002,0.7336,0.336,7.28,2.548,150.08,0.0,0.0,0.0
"Mustard, Dijon",Quantity not specified,60.0,24.0,25.16,0.61,18.01,13.0,1.77,509.0,19.0,0.1,0.3,14.4,15.095999999999998,0.366,10.806,7.8,1.062,305.4,11.4,0.06,0.18
Cooked sausage,1 cocktail or miniature link,10.0,9.0,1.42,1.2,27.25,16.0,18.53,814.0,28.0,0.0,1.4,0.9,0.142,0.12,2.725,1.6,1.853,81.4,2.8,0.0,0.14
"Risotto, with mushrooms, cooked",,,,,,,,,,,,,,,,,,,,,,
"Beef, minced (only meat)",Quantity not specified,170.0,25.0,23.54,1.64,4.24,33.0,7.49,263.0,1.0,0.3,0.0,42.5,40.018,2.7880000000000003,7.208000000000001,56.1,12.733,447.1,1.7,0.51,0.0
Chocolate,1 individual container,70.0,37.0,65.31,0.94,13.22,34.0,3.33,289.0,64.0,0.1,0.0,25.9,45.717,0.6579999999999999,9.254,23.8,2.331,202.3,44.8,0.07,0.0
"Salt cake (vegetables, filled)",1 cake or patty,85.0,34.0,10.4,0.72,12.64,30.0,13.63,429.0,47.0,0.5,0.8,28.9,8.84,0.612,10.744000000000002,25.5,11.5855,364.65,39.95,0.425,0.68
Shrimp / prawn (small),1 large/jumbo shrimp,15.0,64.0,4.9,0.53,6.67,26.0,15.46,348.0,63.0,0.0,0.1,9.6,0.735,0.0795,1.0005,3.9,2.319,52.2,9.45,0.0,0.015
Balsamic vinegar,Quantity not specified,30.0,7.0,0.93,0.2,0.0,5.0,0.0,5.0,0.0,0.0,0.0,2.1,0.279,0.06,0.0,1.5,0.0,1.5,0.0,0.0,0.0
"Roll of half-white or white flour, with large void",Quantity not specified,49.0,161.0,49.66,2.31,20.1,24.0,6.59,336.0,37.0,0.1,0.6,78.89,24.3334,1.1319,9.849,11.76,3.2291,164.64,18.13,0.049,0.294
Corn crisps,1 large single serving bag,85.0,53.0,54.54,1.69,36.54,18.0,5.46,928.0,13.0,0.1,0.1,45.05,46.359,1.4365,31.059,15.3,4.641,788.8,11.05,0.085,0.085
Bagel (without filling),1 small,69.0,105.0,48.89,2.76,1.53,51.0,10.2,439.0,0.0,0.0,0.0,72.45,33.7341,1.9044,1.0557,35.19,7.037999999999999,302.91,0.0,0.0,0.0
"Chocolate milk, chocolate drink",Quantity not specified,248.0,100.0,10.68,0.33,0.4,11.0,0.64,91.0,60.0,2.0,1.3,248.0,26.4864,0.8184,0.992,27.28,1.5872,225.68,148.8,4.96,3.224
Cocktail,1 drink,225.0,1.0,7.8,0.02,0.19,0.0,0.0,3.0,0.0,0.0,0.0,2.25,17.55,0.045,0.4275,0.0,0.0,6.75,0.0,0.0,0.0
Croutons,Quantity not specified,5.0,96.0,63.5,2.82,18.3,42.0,10.8,1333.0,7.0,0.0,0.0,4.8,3.175,0.141,0.915,2.1,0.54,66.65,0.35,0.0,0.0
Cod,Quantity not specified,140.0,21.0,11.72,1.02,12.48,20.0,13.52,426.0,4.0,0.0,0.4,29.4,16.408,1.4280000000000002,17.472,28.0,18.928,596.4,5.6,0.0,0.56
"Soya Yaourt, yahourt, yogourt ou yoghourt","1 container, NFS",150.0,89.0,12.27,1.08,2.63,27.0,4.83,30.0,42.0,1.5,1.2,133.5,18.405,1.62,3.945,40.5,7.245,45.0,63.0,2.25,1.8
Veal sausage,Quantity not specified,96.0,14.0,6.74,1.05,8.54,24.0,17.82,147.0,43.0,1.4,0.5,13.44,6.4704,1.008,8.1984,23.04,17.1072,141.12,41.28,1.344,0.48
"Cordon bleu, from pork schnitzel, fried",Quantity not specified,229.0,97.0,9.34,1.32,9.69,30.0,23.66,443.0,49.0,1.8,0.7,222.13,21.3886,3.0228,22.1901,68.7,54.1814,1014.47,112.21,4.122,1.6029999999999998
"Sandwich (ham, cheese and butter)",Quantity not specified,155.0,192.0,19.13,1.58,10.5,36.0,16.58,798.0,38.0,0.0,0.7,297.6,29.651499999999995,2.449,16.275,55.8,25.699,1236.9,58.9,0.0,1.085
"Grits, polenta, maize flour",,,,,,,,,,,,,,,,,,,,,,
Raspberries,Quantity not specified,75.0,16.0,12.9,0.45,0.19,19.0,1.01,0.0,2.0,23.0,0.0,12.0,9.675,0.3375,0.1425,14.25,0.7575,0.0,1.5,17.25,0.0
"Lasagne, vegetable, prepared","1 piece (1/6 of 8"" square, approx 2-1/2"" x 4"")",227.0,268.0,14.52,0.76,9.38,26.0,11.2,384.0,102.0,3.5,0.2,608.36,32.9604,1.7252,21.292600000000004,59.02,25.424,871.68,231.54,7.945,0.454
Dips,1 individual container,70.0,79.0,3.94,0.32,45.18,10.0,2.55,718.0,83.0,1.7,0.1,55.3,2.758,0.224,31.626,7.0,1.785,502.6,58.1,1.19,0.07
Corn Flakes,Quantity not specified,60.0,24.0,78.74,9.85,1.18,28.0,8.13,347.0,0.0,0.3,4.9,14.4,47.244,5.91,0.708,16.8,4.878000000000001,208.2,0.0,0.18,2.94
Swiss chard,"1 cup, shredded",108.0,890.0,1.44,0.13,31.0,33.0,27.0,185.0,292.0,0.0,0.0,961.2,1.5552,0.1404,33.48,35.64,29.16,199.8,315.36,0.0,0.0
Tiramisu,1 cubic inch,10.0,65.0,29.44,1.12,23.86,16.0,5.65,173.0,185.0,1.1,0.6,6.5,2.9440000000000004,0.112,2.386,1.6,0.565,17.3,18.5,0.11,0.06
Peas,Quantity not specified,92.0,46.0,25.48,2.7,8.91,45.0,8.23,222.0,1.0,1.1,0.0,42.32,23.4416,2.484,8.1972,41.4,7.571600000000001,204.24,0.92,1.012,0.0
"Pork, roast",1 cup,135.0,7.0,0.0,0.64,7.49,25.0,26.63,353.0,0.0,0.0,0.4,9.45,0.0,0.8640000000000001,10.1115,33.75,35.9505,476.55,0.0,0.0,0.54
"Sauce, curry",Quantity not specified,32.0,21.0,5.03,0.89,8.22,15.0,1.39,383.0,21.0,5.8,0.1,6.72,1.6096,0.2848,2.6304000000000003,4.8,0.4448,122.56,6.72,1.856,0.032
Apricots,1 slice/chunk,10.0,13.0,11.12,0.39,0.39,10.0,1.4,1.0,96.0,10.0,0.0,1.3,1.112,0.039,0.039,1.0,0.14,0.1,9.6,1.0,0.0
Lamb,Quantity not specified,70.0,50.0,7.44,1.29,11.58,17.0,14.05,467.0,35.0,0.5,0.5,35.0,5.208000000000001,0.903,8.106,11.9,9.835,326.9,24.5,0.35,0.35
"Lasagne, meat, prepared",1 cup,250.0,197.0,11.36,0.79,10.69,22.0,10.83,466.0,81.0,0.7,0.0,492.5,28.4,1.975,26.725,55.0,27.075,1165.0,202.5,1.75,0.0
"Butter, spread, puree almond",1 tablespoon,16.0,263.0,21.11,4.08,52.72,266.0,20.67,232.0,0.0,0.0,0.0,42.08,3.3776,0.6528,8.4352,42.56,3.3072000000000004,37.12,0.0,0.0,0.0
"Cake, salted",1 cake,32.0,15.0,49.88,2.58,21.41,21.0,5.8,186.0,0.0,0.3,0.0,4.8,15.9616,0.8256,6.8512,6.72,1.856,59.52,0.0,0.096,0.0
Shrimp / prawn (large),1 large/jumbo shrimp,15.0,64.0,4.9,0.53,6.67,26.0,15.46,348.0,63.0,0.0,0.1,9.6,0.735,0.0795,1.0005,3.9,2.319,52.2,9.45,0.0,0.015
"Dough (puff pastry, shortcrust, bread, pizza dough)","1 medium pizza (11-12"" diameter)",571.0,224.0,22.77,1.8,17.36,23.0,13.56,622.0,62.0,0.1,0.3,1279.04,130.0167,10.278,99.1256,131.33,77.4276,3551.62,354.02,0.5710000000000001,1.713
Rice waffels,1 thick / Belgian waffle,135.0,299.0,48.39,6.59,9.49,22.0,7.42,460.0,438.0,0.0,0.0,403.65,65.3265,8.8965,12.8115,29.7,10.017,621.0,591.3,0.0,0.0
Cervelat,"1 slice, any size",85.0,6.0,5.12,6.12,4.64,22.0,26.31,384.0,7683.0,0.7,1.2,5.1,4.352,5.202000000000001,3.944,18.7,22.3635,326.4,6530.55,0.595,1.02
"Tea, verveine",Quantity not specified,360.0,2.0,0.2,0.08,0.0,1.0,0.0,1.0,0.0,0.0,0.0,7.2,0.72,0.288,0.0,3.6,0.0,3.6,0.0,0.0,0.0
Sekt,Quantity not specified,180.0,8.0,11.5,0.25,0.06,8.0,0.16,4.0,0.0,4.0,0.0,14.4,20.7,0.45,0.1079999999999999,14.4,0.288,7.2,0.0,7.2,0.0
Sorbet,1 bar,80.0,3.0,27.12,0.17,0.05,2.0,0.79,13.0,0.0,5.2,0.0,2.4,21.696,0.136,0.04,1.6,0.632,10.4,0.0,4.16,0.0
Brioche,Quantity not specified,70.0,44.0,36.31,2.86,27.46,17.0,8.96,437.0,269.0,0.0,0.9,30.8,25.417,2.002,19.222,11.9,6.272,305.9,188.3,0.0,0.63
Coca Cola,Quantity not specified,180.0,8.0,11.5,0.25,0.06,8.0,0.16,4.0,0.0,4.0,0.0,14.4,20.7,0.45,0.1079999999999999,14.4,0.288,7.2,0.0,7.2,0.0
Coca Cola Zero,Quantity not specified,180.0,8.0,11.5,0.25,0.06,8.0,0.16,4.0,0.0,4.0,0.0,14.4,20.7,0.45,0.1079999999999999,14.4,0.288,7.2,0.0,7.2,0.0
"Processed meat, Charcuterie",Quantity not specified,108.0,205.0,4.68,1.1,1.41,30.0,4.91,370.0,222.0,40.5,0.1,221.4,5.054399999999999,1.1880000000000002,1.5228,32.4,5.3028,399.6,239.76,43.74,0.108
Ham croissant,1 croissant,57.0,53.0,47.0,2.15,20.9,24.0,9.2,361.0,204.0,0.2,0.0,30.21,26.79,1.2255,11.913,13.68,5.244,205.77,116.28,0.114,0.0
Mousse,1 cup,170.0,102.0,16.23,0.52,15.12,21.0,4.2,34.0,138.0,0.2,1.5,173.4,27.591,0.884,25.704,35.7,7.14,57.8,234.6,0.34,2.55
"Sauce, sweet & sour",1 tablespoon,16.0,10.0,38.22,0.21,0.02,8.0,0.27,539.0,1.0,8.7,0.0,1.6,6.1152,0.0336,0.0032,1.28,0.0432,86.24,0.16,1.392,0.0
"Ham, turkey",1 can (5 oz) yields,125.0,14.0,0.9,1.3,8.1,19.0,25.3,482.0,53.0,0.0,0.1,17.5,1.125,1.625,10.125,23.75,31.625,602.5,66.25,0.0,0.125
"Rice, whole-grain",1 cup,244.0,18.0,8.86,1.34,7.94,21.0,17.69,522.0,4.0,0.0,0.4,43.92,21.6184,3.2696000000000005,19.3736,51.24,43.1636,1273.68,9.76,0.0,0.976
Mungbean sprouts,Quantity not specified,28.0,13.0,5.94,0.91,0.18,21.0,3.04,6.0,1.0,13.2,0.0,3.64,1.6632000000000002,0.2548,0.0504,5.88,0.8512000000000001,1.68,0.28,3.696,0.0
"Tea, ginger",1 medium,480.0,3.0,0.18,0.01,0.01,1.0,0.02,4.0,0.0,0.0,0.0,14.4,0.8639999999999999,0.048,0.048,4.8,0.096,19.2,0.0,0.0,0.0
Basil,1 leaf,0.5,177.0,2.65,3.17,0.64,64.0,3.15,4.0,264.0,18.0,0.0,0.885,0.01325,0.01585,0.0032,0.32,0.01575,0.02,1.32,0.09,0.0
Light beer,1 can or bottle (16 fl oz),480.0,4.0,1.64,0.03,0.0,5.0,0.24,4.0,0.0,0.0,0.0,19.2,7.871999999999999,0.144,0.0,24.0,1.152,19.2,0.0,0.0,0.0
"Lamb, chop",1 oz yields,20.0,20.0,0.0,1.89,16.27,26.0,27.36,387.0,0.0,0.0,0.1,4.0,0.0,0.3779999999999999,3.254,5.2,5.472,77.4,0.0,0.0,0.02
Coleslaw (chopped without sauce),1 cup,220.0,33.0,10.45,0.14,7.98,11.0,0.94,280.0,79.0,26.9,0.0,72.6,22.99,0.308,17.556,24.2,2.068,616.0,173.8,59.18,0.0
Mix of dried fruits and nuts,1 package,50.0,61.0,51.06,2.13,26.83,112.0,10.9,134.0,1.0,0.9,0.0,30.5,25.53,1.065,13.415,56.0,5.45,67.0,0.5,0.45,0.0
"Beef, roast",1 cup,135.0,15.0,0.0,2.89,9.72,18.0,29.08,372.0,4.0,0.0,0.0,20.25,0.0,3.9015,13.122,24.3,39.258,502.2,5.4,0.0,0.0
Nuts,Quantity not specified,28.0,93.0,20.9,2.76,53.82,196.0,19.59,313.0,1.0,0.4,0.0,26.04,5.851999999999999,0.7728,15.0696,54.88,5.4852,87.64,0.28,0.112,0.0
"Vanille cream, cooked, Custard, Crème dessert",Quantity not specified,125.0,156.0,31.44,0.33,4.91,14.0,4.91,81.0,123.0,1.2,0.1,195.0,39.3,0.4125,6.1375,17.5,6.1375,101.25,153.75,1.5,0.125
Tartar sauce,Quantity not specified,28.0,26.0,13.3,0.25,16.7,6.0,1.0,667.0,11.0,2.3,0.0,7.28,3.724,0.07,4.675999999999999,1.68,0.28,186.76,3.08,0.6439999999999999,0.0
Country fries,1 thick,240.0,23.0,7.94,1.8,21.05,19.0,19.9,432.0,2.0,0.0,0.2,55.2,19.056,4.32,50.52,45.6,47.76,1036.8,4.8,0.0,0.48
"Rice, Jasmin",1 cup,244.0,18.0,8.86,1.34,7.94,21.0,17.69,522.0,4.0,0.0,0.4,43.92,21.6184,3.2696000000000005,19.3736,51.24,43.1636,1273.68,9.76,0.0,0.976
Champagne,Quantity not specified,180.0,8.0,11.5,0.25,0.06,8.0,0.16,4.0,0.0,4.0,0.0,14.4,20.7,0.45,0.1079999999999999,14.4,0.288,7.2,0.0,7.2,0.0
Minced meat,Quantity not specified,170.0,25.0,23.54,1.64,4.24,33.0,7.49,263.0,1.0,0.3,0.0,42.5,40.018,2.7880000000000003,7.208000000000001,56.1,12.733,447.1,1.7,0.51,0.0
"Carrot, steamed, without addition of salt",Quantity not specified,120.0,15.0,22.64,0.97,2.42,11.0,2.16,195.0,204.0,0.9,0.0,18.0,27.168000000000003,1.164,2.904,13.2,2.5920000000000005,234.0,244.8,1.08,0.0
Ebly,1 cup,244.0,18.0,8.86,1.34,7.94,21.0,17.69,522.0,4.0,0.0,0.4,43.92,21.6184,3.2696000000000005,19.3736,51.24,43.1636,1273.68,9.76,0.0,0.976
"High protein pasta (made of lentils, peas, ...)",1 cup,185.0,18.0,18.71,3.1,6.86,33.0,8.38,218.0,0.0,1.3,0.0,33.3,34.6135,5.735,12.691,61.05,15.503000000000002,403.3,0.0,2.405,0.0
Fish fingers (breaded),1 cup,135.0,64.0,4.9,0.53,6.67,26.0,15.46,348.0,63.0,0.0,0.1,86.4,6.615,0.7155,9.0045,35.1,20.871,469.8,85.05,0.0,0.135
Artichoke,1 cup,150.0,21.0,11.95,0.61,0.34,42.0,2.89,60.0,1.0,7.4,0.0,31.5,17.925,0.915,0.5100000000000001,63.0,4.335,90.0,1.5,11.1,0.0
Mango dried,1 cup,160.0,0.0,78.58,0.23,1.18,20.0,2.45,162.0,67.0,42.3,0.0,0.0,125.728,0.368,1.888,32.0,3.92,259.2,107.2,67.68,0.0
Coconut,Guideline amount per fl oz of beverage,2.5,188.0,2.92,0.3,2.08,0.0,0.21,19.0,63.0,0.0,1.0,4.7,0.073,0.0075,0.052,0.0,0.00525,0.475,1.575,0.0,0.025
Waffle,1 thick / Belgian waffle,135.0,299.0,48.39,6.59,9.49,22.0,7.42,460.0,438.0,0.0,0.0,403.65,65.3265,8.8965,12.8115,29.7,10.017,621.0,591.3,0.0,0.0
"Apricot, dried",1 cup,160.0,55.0,62.64,2.66,0.51,32.0,3.39,10.0,180.0,1.0,0.0,88.0,100.224,4.256,0.816,51.2,5.424,16.0,288.0,1.6,0.0
"Watermelon, fresh",Quantity not specified,78.0,7.0,7.55,0.24,0.15,10.0,0.61,1.0,28.0,8.1,0.0,5.46,5.888999999999999,0.1871999999999999,0.1169999999999999,7.8,0.4758,0.78,21.84,6.318,0.0
"Sauce, sweet-salted (asian)",1 cup,150.0,15.0,23.1,1.04,3.54,18.0,4.46,148.0,107.0,8.2,0.0,22.5,34.65,1.56,5.31,27.0,6.69,222.0,160.5,12.3,0.0
Margarine,Quantity not specified,14.0,16.0,0.82,0.02,65.04,2.0,0.17,694.0,819.0,0.1,3.7,2.24,0.1147999999999999,0.0028,9.1056,0.28,0.0238,97.16,114.66,0.014,0.518
Green asparagus,Quantity not specified,68.0,24.0,3.88,2.14,0.12,14.0,2.2,2.0,38.0,5.6,0.0,16.32,2.6384,1.4552,0.0816,9.52,1.4960000000000002,1.36,25.84,3.808,0.0
Shoots,Quantity not specified,28.0,13.0,5.94,0.91,0.18,21.0,3.04,6.0,1.0,13.2,0.0,3.64,1.6632000000000002,0.2548,0.0504,5.88,0.8512000000000001,1.68,0.28,3.696,0.0
Pasta in conch form,"1 oz, dry, yields",80.0,7.0,30.68,1.27,0.92,18.0,5.76,232.0,0.0,0.0,0.0,5.6,24.544,1.016,0.7360000000000001,14.4,4.608,185.6,0.0,0.0,0.0
"Grapefruit, pomelo",Quantity not specified,154.0,22.0,10.66,0.08,0.14,9.0,0.77,0.0,58.0,31.2,0.0,33.88,16.4164,0.1232,0.2156,13.86,1.1858,0.0,89.32,48.048,0.0
"Vegetable au gratin, baked",1 entree (9.1 oz),258.0,95.0,7.24,0.57,5.41,29.0,10.67,499.0,90.0,6.9,0.0,245.1,18.6792,1.4705999999999997,13.9578,74.82,27.5286,1287.42,232.2,17.802,0.0
"Pork, chop","1 chop, any size",180.0,15.0,7.82,0.73,9.04,22.0,18.37,414.0,28.0,0.3,0.4,27.0,14.076,1.314,16.272,39.6,33.066,745.2,50.4,0.54,0.72
Blackberry,1 blackberry,5.0,29.0,9.61,0.62,0.49,20.0,1.39,1.0,11.0,21.0,0.0,1.45,0.4805,0.031,0.0245,1.0,0.0694999999999999,0.05,0.55,1.05,0.0
"Coffee, decaffeinated","1 large pot (60 FO, 12 servings)",1800.0,2.0,0.0,0.05,0.0,5.0,0.1,2.0,0.0,0.0,0.0,36.0,0.0,0.9,0.0,90.0,1.8,36.0,0.0,0.0,0.0
"Fig, dried",1 fig,8.0,162.0,63.9,2.03,0.92,68.0,3.3,10.0,0.0,1.2,0.0,12.96,5.112,0.1624,0.0736,5.44,0.264,0.8,0.0,0.096,0.0
Potato-gnocchi,1 piece,26.0,22.0,17.2,0.83,6.33,12.0,2.44,279.0,62.0,1.9,0.2,5.72,4.472,0.2158,1.6458000000000002,3.12,0.6344,72.54,16.12,0.494,0.052
"Sugar, glazing",1 teaspoon,4.2,1.0,99.6,0.05,0.32,0.0,0.0,1.0,0.0,0.0,0.0,0.042,4.1832,0.0021,0.01344,0.0,0.0,0.042,0.0,0.0,0.0
"Croissant, wholegrain",Quantity not specified,70.0,36.0,47.04,1.99,19.72,16.0,7.75,287.0,193.0,0.4,0.0,25.2,32.928,1.393,13.803999999999998,11.2,5.425,200.9,135.1,0.28,0.0
"Tea, fruit",1 fl oz (with ice),23.0,4.0,9.15,0.04,0.05,5.0,0.2,12.0,1.0,6.3,0.0,0.92,2.1045000000000003,0.0092,0.0115,1.15,0.046,2.76,0.23,1.449,0.0
Tartar (meat),1 cup,225.0,28.0,0.34,2.12,15.6,17.0,17.45,370.0,42.0,0.2,0.6,63.0,0.765,4.77,35.1,38.25,39.2625,832.5,94.5,0.45,1.35
"Curds, natural, with at most 10% fidm",Quantity not specified,113.0,103.0,4.31,0.13,2.3,9.0,11.0,321.0,69.0,0.0,0.0,116.39,4.870299999999999,0.1469,2.599,10.17,12.43,362.73,77.97,0.0,0.0
White asparagus,Quantity not specified,68.0,24.0,3.88,2.14,0.12,14.0,2.2,2.0,38.0,5.6,0.0,16.32,2.6384,1.4552,0.0816,9.52,1.4960000000000002,1.36,25.84,3.808,0.0
Peach,Quantity not specified,150.0,4.0,10.1,0.34,0.27,8.0,0.91,13.0,24.0,4.1,0.0,6.0,15.15,0.5100000000000001,0.405,12.0,1.365,19.5,36.0,6.15,0.0
Curd,Quantity not specified,113.0,103.0,4.31,0.13,2.3,9.0,11.0,321.0,69.0,0.0,0.0,116.39,4.870299999999999,0.1469,2.599,10.17,12.43,362.73,77.97,0.0,0.0
Smoked cooked sausage of pork and beef meat sausag,1 cocktail meatball,9.0,52.0,6.75,1.66,8.18,18.0,13.63,426.0,22.0,2.1,0.4,4.68,0.6075,0.1494,0.7362000000000001,1.62,1.2267,38.34,1.98,0.189,0.036
"Pie, rhubarb, baked, with cake dough",Quantity not specified,130.0,27.0,44.38,0.8,0.2,10.0,0.41,12.0,1.0,0.7,0.0,35.1,57.694,1.04,0.26,13.0,0.5329999999999999,15.6,1.3,0.91,0.0
"Sauce, cocktail",1 tablespoon,17.0,26.0,28.22,0.83,1.05,17.0,1.36,1262.0,18.0,11.6,0.0,4.42,4.7974,0.1411,0.1785,2.89,0.2312,214.54,3.06,1.972,0.0
"Tomato, stewed, without addition of fat, without addition of salt",Quantity not specified,116.0,7.0,14.45,0.45,0.93,13.0,2.46,235.0,0.0,4.7,0.0,8.12,16.761999999999997,0.522,1.0788000000000002,15.08,2.8536,272.6,0.0,5.452000000000001,0.0
Cherries,Quantity not specified,75.0,12.0,16.16,0.11,0.19,12.0,1.04,0.0,3.0,10.4,0.0,9.0,12.12,0.0825,0.1425,9.0,0.78,0.0,2.25,7.8,0.0
Nectarine,1 slice/chunk,20.0,2.0,9.18,0.3,0.28,9.0,1.06,13.0,21.0,2.9,0.0,0.4,1.836,0.06,0.056,1.8,0.212,2.6,4.2,0.58,0.0
Figs,Quantity not specified,50.0,35.0,19.18,0.37,0.3,17.0,0.75,1.0,7.0,2.0,0.0,17.5,9.59,0.185,0.15,8.5,0.375,0.5,3.5,1.0,0.0
Damson plum,1 fruit,75.0,5.0,13.54,0.13,0.23,5.0,0.52,1.0,11.0,5.7,0.0,3.75,10.155,0.0975,0.1725,3.75,0.39,0.75,8.25,4.275,0.0
bean seeds,Quantity not specified,130.0,29.0,13.55,1.44,2.01,35.0,4.98,370.0,0.0,5.7,0.0,37.7,17.615,1.872,2.6129999999999995,45.5,6.474000000000001,481.0,0.0,7.41,0.0
